회사명,거래소코드,회계년도,종가(원),현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주),[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원)
(주)굿센,243870,2021/12,,264027,0,264027,2847832,2847832,,,,,3796,3796,3796,3796,3796,3796,0,3796,3796,3796,,,13359,13358642,13359,,13358642,,-11085,-11085,,-11085450,,-11085450,,24710,24710,,24709838,,24709838
(주)굿센,243870,2022/12,,264027,0,264027,2847832,2847832,,,,,421,421,421,421,421,421,0,421,421,421,,,13780,13780029,13780,,13780029,,4266,4266,,4266299,,4266299,,26176,26176,,26176019,,26176019
(주)굿센,243870,2022/12,,2583805,0,2583805,2847832,2847832,,,,,421,421,421,421,421,421,0,421,421,421,,,13780,13780029,13780,,13780029,,4266,4266,,4266299,,4266299,,26176,26176,,26176019,,26176019
(주)굿센,243870,2022/12,,2847832,0,2847832,2847832,2847832,,,,,421,421,421,421,421,421,0,421,421,421,,,13780,13780029,13780,,13780029,,4266,4266,,4266299,,4266299,,26176,26176,,26176019,,26176019
(주)나눔테크,244880,2016/12,,4966000,6000,4960000,4960000,4960000,,,,,,,,,227,227,227,227,227,227,,,,,3916,,3915903,,,961,,,,961484,,,7836,,,,7836029
(주)나눔테크,244880,2016/12,,966000,6000,960000,4960000,4960000,,,,,,,,,227,227,227,227,227,227,,,,,3916,,3915903,,,961,,,,961484,,,7836,,,,7836029
(주)나눔테크,244880,2016/12,,4000000,0,4000000,4960000,4960000,,,,,,,,,227,227,227,227,227,227,,,,,3916,,3915903,,,961,,,,961484,,,7836,,,,7836029
(주)나눔테크,244880,2017/12,,4000000,0,4000000,4960000,4960000,,,,,,,,,1769,1769,0,1769,1769,1769,,,,,5728,,5728423,,,2507,,,,2506606,,,10502,,,,10501915
(주)나눔테크,244880,2017/12,,966000,6000,960000,4960000,4960000,,,,,,,,,1769,1769,0,1769,1769,1769,,,,,5728,,5728423,,,2507,,,,2506606,,,10502,,,,10501915
(주)나눔테크,244880,2017/12,,4966000,6000,4960000,4960000,4960000,,,,,,,,,1769,1769,0,1769,1769,1769,,,,,5728,,5728423,,,2507,,,,2506606,,,10502,,,,10501915
(주)나눔테크,244880,2018/12,,966000,966000,0,5020000,5020000,,,,,,,,,2406,2406,2406,2406,2406,2406,,,,,7483,,7482816,,,2297,,,,2296635,,,11472,,,,11471634
