회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
주식회사나누텍,092026,2018/12,,,,,,,,,,,,,,,11377435,9272544,2104892,1908453,196439,94932,0
주식회사나누텍,092026,2019/12,,,,,,,,,,,,,,,13653135,11954905,1698230,1442002,256227,317040,8275
주식회사나누텍,092026,2020/12,,,,,,,,,,,,,,,15714141,13646369,2067772,947538,1120234,933191,29900
주식회사나눅스,013305,2012/12,,,,,,,,,,,,,,,10923049,7928720,2994330,4792574,-1798244,-1580646,0
주식회사나눅스,013305,2013/12,,,,,,,,,,,,,,,8888186,6114331,2773855,5039266,-2265410,-1994284,0
주식회사나눅스,013305,2014/12,,,,,,,,,,,,,,,10802303,7762371,3039932,5072841,-2032909,-1465939,0
주식회사나눅스,013305,2015/12,,,,,,,,,,,,,,,9161293,6397334,2763960,4092673,-1328714,1468356,0
주식회사나눅스,013305,2016/12,,,,,,,,,,,,,,,3884287,2643597,1240689,2720668,-1479978,-576348,0
주식회사나눅스,013305,2017/12,,,,,,,,,,,,,,,3521338,2413540,1107798,2346013,-1238215,-5527298,0
주식회사나눅스,013305,2018/12,,,,,,,,,,,,,,,2492828,1988630,504198,1928449,-1424251,-1669007,0
주식회사나눅스,013305,2019/12,,,,,,,,,,,,,,,2516977,1991215,525762,1573729,-1047968,10645443,430418
주식회사나눅스네트웍스,072297,2014/12,,,,,,,,,,,,,,,24544947,14609790,9935157,6814910,3120247,3168172,699738
주식회사나눅스네트웍스,072297,2015/12,,,,,,,,,,,,,,,31294767,19647535,11647232,8119772,3527459,3446516,725051
주식회사나눅스네트웍스,072297,2016/12,,,,,,,,,,,,,,,29988589,20123452,9865137,7853857,2011280,1956095,415210
주식회사나눅스네트웍스,072297,2017/12,,,,,,,,,,,,,,,27395835,17596642,9799193,8421501,1377692,943890,183821
주식회사나눅스네트웍스,072297,2018/12,,,,,,,,,,,,,,,24887806,16114888,8772918,8309934,462984,105373,28924
주식회사나눅스네트웍스,072297,2019/12,,,,,,,,,,,,,,,27151440,18031484,9119955,7871821,1248134,882564,120910
주식회사나눅스네트웍스,072297,2020/12,,,,,,,,,,,,,,,32389058,20097907,12291152,8362977,3928174,3893905,776574
주식회사나눅스네트웍스,072297,2021/12,,,,,,,,,,,,,,,43495866,26760100,16735766,9640342,7095423,6951799,1353536
주식회사나눅스네트웍스,072297,2022/12,,,,,,,,,,,,,,,42403514,26460655,15942859,9862655,6080204,6161021,1244345
주식회사나눔디엔씨,074625,2014/12,,,,,,,,,,,,,,,0,0,0,863210,-863210,-858558,0
주식회사나눔디엔씨,074625,2015/12,,,,,,,,,,,,,,,2750000,0,2750000,2382803,367197,1167366,0
주식회사나눔디엔씨,074625,2016/12,,,,,,,,,,,,,,,193091,0,193091,617389,-424298,-526891,0
주식회사나눔엠앤씨,096639,2019/12,,,,,,,,,,,,,,,450000,0,450000,821065,-371065,4655,0
주식회사나눔엠앤씨,096639,2020/12,,,,,,,,,,,,,,,0,0,0,3145,-3145,2903,319
주식회사나눔엠앤씨,096639,2021/12,,,,,,,,,,,,,,,0,0,0,7979,-7979,604,96
주식회사나눔엠앤씨,096639,2022/12,,,,,,,,,,,,,,,0,0,0,97399,-97399,-2827,0
주식회사나들커뮤니케이션,104980,2021/12,,,,,,,,,,,,,,,51941237,51427690,513547,458771,54776,44635,38136
주식회사나들커뮤니케이션,104980,2022/12,,,,,,,,,,,,,,,54409068,53644133,764935,488856,276079,272602,46112
주식회사나딕게임즈,076512,2015/12,,,,,,,,,,,,,,,3490319,0,3490319,6075591,-2585273,-1641104,0
주식회사나딕게임즈,076512,2016/12,,,,,,,,,,,,,,,8758614,0,8758614,7429842,1328772,1272995,0
주식회사나딕게임즈,076512,2017/12,,,,,,,,,,,,,,,8392073,0,8392073,9004266,-612193,-996748,0
주식회사나딕게임즈,076512,2018/12,,,,,,,,,,,,,,,9506332,0,9506332,5562889,3943443,3743293,0
주식회사나딕게임즈,076512,2019/12,13884750,0,13884750,712426,712426,781941,346139,9005775,0,9005775,194047,194047,198040,348484,9005775,0,9005775,8811728,194047,198040,348484
주식회사나딕게임즈,076512,2020/12,14463443,0,14463443,-2208154,-2208154,-2658687,524818,7965471,0,7965471,-1890166,-1890166,-2178565,507710,7965471,0,7965471,9855637,-1890166,-2178565,507710
주식회사나딕게임즈,076512,2021/12,17966797,0,17966797,-879482,-879482,-722474,1023202,17191375,0,17191375,-874102,-874102,-647192,1022473,17191375,0,17191375,18065476,-874102,-647192,1022473
주식회사나딕게임즈,076512,2022/12,14614569,0,14614569,-3998711,-3998711,-3854252,730060,13530210,0,13530210,-4261904,-4261904,-4124249,729371,13530210,0,13530210,17792114,-4261904,-4124249,729371
주식회사나라교역,039396,2012/12,,,,,,,,,,,,,,,11551212,9952094,1599118,390911,1208207,1970761,96257
주식회사나라교역,039396,2013/12,,,,,,,,,,,,,,,10574906,8776467,1798439,447685,1350755,2196351,402508
주식회사나라교역,039396,2014/12,,,,,,,,,,,,,,,9273024,7896157,1376867,393913,982953,1187400,219500
주식회사나라교역,039396,2015/12,,,,,,,,,,,,,,,8719545,7537465,1182080,336525,845556,777411,135365
주식회사나라교역,039396,2016/12,,,,,,,,,,,,,,,8265088,7274161,990927,425931,564996,346149,69179
주식회사나라교역,039396,2017/12,,,,,,,,,,,,,,,8132633,7386537,746096,527981,218115,612211,119594
