회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)송정주류,093050,2019/12,,,,,,,,,,,,,,,21885019,17115402,4769617,4159729,609888,762653,110245
(유)송정주류,093050,2020/12,,,,,,,,,,,,,,,17698793,13396501,4302292,4101963,200329,215852,21067
(유)송정주류,093050,2021/12,,,,,,,,,,,,,,,14678570,12034823,2643747,3260312,-616565,-609003,1051
(유)송정주류,093050,2022/12,,,,,,,,,,,,,,,21263275,16202284,5060990,4585111,475879,497500,30394
(유)신합상사,096306,2019/12,,,,,,,,,,,,,,,30219830,24234322,5985508,5136406,849102,-659565,0
(유)신합상사,096306,2020/12,,,,,,,,,,,,,,,21689034,17743671,3945364,3445364,500000,271045,0
(유)신합상사,096306,2021/12,,,,,,,,,,,,,,,22808710,19035209,3773502,3798508,-25006,-1138669,0
(유)신합상사,096306,2022/12,,,,,,,,,,,,,,,29197046,23809799,5387248,4520592,866656,421256,0
(유)신흥개발,097040,2019/12,,,,,,,,,,,,,,,17862334,12403031,5459304,4575255,884049,768426,104967
(유)신흥개발,097040,2020/12,,,,,,,,,,,,,,,-10622390,-8378936,-2243454,3339564,-5583018,-6060346,0
(유)실릭스,094862,2019/12,,,,,,,,,,,,,,,115332439,112035594,3296845,81363,3215482,-22460655,0
