회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)주영산업개발,093799,2019/12,,,,,,,,,,,,,,,2914046,1876532,1037514,2983439,-1945926,925804,0
(유)주영산업개발,093799,2020/12,,,,,,,,,,,,,,,8887085,5823916,3063169,1600623,1462546,2849461,494075
(유)주영산업개발,093799,2021/12,,,,,,,,,,,,,,,25600605,17071970,8528636,1325237,7203398,8179531,1746694
(유)주영산업개발,093799,2022/12,,,,,,,,,,,,,,,4461558,2971467,1490091,1896345,-406253,1219426,222420
(유)중산MOTORS,105441,2021/12,,,,,,,,,,,,,,,40192681,37158252,3034429,2513586,520843,325974,50340
(유)중산MOTORS,105441,2022/12,,,,,,,,,,,,,,,39799166,36692559,3106607,2135274,971333,687666,131228
(유)짐머바이오메트코리아,018711,2012/12,,,,,,,,,,,,,,,36198391,21080735,15117656,13982964,1134692,-678851,223978
(유)짐머바이오메트코리아,018711,2013/12,,,,,,,,,,,,,,,36950932,22187369,14763563,13361215,1402348,1736604,482415
(유)짐머바이오메트코리아,018711,2014/12,,,,,,,,,,,,,,,39187820,23921818,15266003,15004840,261162,321017,707852
(유)짐머바이오메트코리아,018711,2015/12,,,,,,,,,,,,,,,43131589,25706668,17424921,14705843,2719078,3754536,1065418
