회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)판토스홀딩스,078315,2015/12,,,,,,,,,,,,,,,0,0,0,47014,-47014,-46039,0
(유)판토스홀딩스,078315,2016/12,,,,,,,,,,,,,,,3071645,0,3071645,1122439,1949206,1410843,31041
(유)판토스홀딩스,078315,2019/12,,,,,,,,,,,,,,,6875686,0,6875686,8771413,-1895727,-12614556,649559
(유)판토스홀딩스,078315,2020/12,,,,,,,,,,,,,,,7618423,0,7618423,1729659,5888763,2281356,61649
(유)판토스홀딩스,078315,2021/12,,,,,,,,,,,,,,,3458912,0,3458912,4049115,-590203,-2119702,145620
(유)판토스홀딩스,078315,2022/12,,,,,,,,,,,,,,,2643640,1058737,1584903,2846109,-1261206,-3052229,78308
(유)포리코리아,038721,2020/12,,,,,,,,,,,,,,,17702864,12320840,5382024,2853695,2528329,2282452,376468
(유)포리코리아,038721,2021/12,,,,,,,,,,,,,,,25011104,17659772,7351331,3510397,3840934,3985316,693805
(유)포리코리아,038721,2022/12,,,,,,,,,,,,,,,17162017,11646178,5515839,3293269,2222570,2295178,334279
(유)프라이그파이스트,046117,2019/12,,,,,,,,,,,,,,,53092020,43806560,9285461,5579540,3705920,3813976,851219
(유)프라이그파이스트,046117,2020/12,,,,,,,,,,,,,,,31977686,26985076,4992610,5068178,-75568,308665,701
(유)프라이그파이스트,046117,2021/12,,,,,,,,,,,,,,,20135040,16353544,3781496,4002453,-220957,45021,3022
(유)프라이그파이스트,046117,2022/12,,,,,,,,,,,,,,,14338691,11497938,2840753,4450479,-1609726,-1732624,0
(유)하늘산업,101984,2021/12,,,,,,,,,,,,,,,74337038,70638803,3698236,2516381,1181854,980802,0
(유)하늘산업,101984,2022/12,,,,,,,,,,,,,,,83424938,79749010,3675928,2785983,889945,513358,113002
(유)하이코스,093414,2019/12,,,,,,,,,,,,,,,39283299,10842814,28440485,27758968,681517,302517,143772
(유)하이코스,093414,2020/12,,,,,,,,,,,,,,,26480698,7177427,19303271,19193937,109334,-126312,1226
(유)하이코스,093414,2021/12,,,,,,,,,,,,,,,22870440,5010498,17859942,18040457,-180516,54727,27353
(유)한국타코닉,093116,2019/12,,,,,,,,,,,,,,,59887692,41789475,18098217,7795248,10302969,14768393,1435857
(유)한국타코닉,093116,2020/12,,,,,,,,,,,,,,,58646114,43023655,15622459,8238233,7384226,10136126,1230891
