회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)에스케이씨에보닉페록사이드코리아,093338,2019/12,,,,,,,,,,,,,,,63261273,50286525,12974748,1813279,11161469,11677582,2551349
(유)에스케이씨에보닉페록사이드코리아,093338,2020/12,,,,,,,,,,,,,,,60407830,46715670,13692160,1714166,11977993,12180700,2655074
(유)에스케이씨에보닉페록사이드코리아,093338,2021/12,,,,,,,,,,,,,,,68112530,53842079,14270450,1781022,12489428,12753404,2771662
(유)에스케이씨에보닉페록사이드코리아,093338,2022/12,,,,,,,,,,,,,,,80434278,69516849,10917429,1530379,9387050,9915813,2402501
(유)연세,093779,2019/12,,,,,,,,,,,,,,,14140804,6528909,7611895,5318473,2293422,2197418,343327
(유)연세,093779,2020/12,,,,,,,,,,,,,,,532200,133386,398814,374018,24797,-1903590,-317019
(유)영가실업,101874,2021/12,,,,,,,,,,,,,,,18669026,16928153,1740873,1047563,693310,583632,84020
(유)영가실업,101874,2022/12,,,,,,,,,,,,,,,24512534,23094372,1418163,1122319,295844,552923,39957
(유)영동레미콘,095255,2019/12,,,,,,,,,,,,,,,10431611,8212220,2219392,1672669,546722,153710,72891
(유)영동레미콘,095255,2020/12,,,,,,,,,,,,,,,8223277,7255312,967965,1775284,-807320,-1184155,0
(유)워터스코리아,093395,2019/12,,,,,,,,,,,,,,,70703826,55621131,15082695,13808640,1274055,2675795,612234
(유)워터스코리아,093395,2020/12,,,,,,,,,,,,,,,83240219,71423816,11816403,14914339,-3097936,6381461,3669634
(유)워터스코리아,093395,2021/12,,,,,,,,,,,,,,,90823513,78502299,12321214,17858058,-5536844,4864082,1112486
(유)워터스코리아,093395,2022/12,,,,,,,,,,,,,,,119041962,86551344,32490618,20067894,12422724,3737877,895735
(주)에스에이엘,067064,2012/12,,,,,,,,,,,,,,,29113833,26599415,2514418,1252073,1262345,527628,21402
(주)에스에이엘,067064,2013/12,,,,,,,,,,,,,,,34769616,31422790,3346826,2186443,1160383,642782,79716
(주)에스에이엘,067064,2014/12,,,,,,,,,,,,,,,34090587,30323106,3767482,2323228,1444253,764193,35918
(주)에스에이엘,067064,2015/12,,,,,,,,,,,,,,,30236948,42630500,-12393551,3258891,-15652443,-29210369,0
(주)에스에이엘,067064,2016/12,,,,,,,,,,,,,,,20069126,22940245,-2871118,1573169,-4444287,-7448049,0
(주)에스에이엘,067064,2017/12,,,,,,,,,,,,,,,24856329,22419015,2437314,1315304,1122009,913383,0
(주)에스에이엘,067064,2018/12,,,,,,,,31552552,27605269,3947283,2420259,2420259,2286455,0,31552552,27605269,3947283,1527025,2420259,2286455,0
(주)에스에이엘,067064,2019/12,,,,,,,,29762885,26582649,3180237,1386152,1386152,890832,0,29762885,26582649,3180237,1794085,1386152,890832,0
(주)에스에이엘,067064,2020/12,,,,,,,,39108770,37137080,1971690,309755,309755,267928,18204,39108770,37137080,1971690,1661935,309755,267928,18204
(주)에스에이엘,067064,2021/12,,,,,,,,25610525,24001859,1608667,286327,286327,70517,2588,25610525,24001859,1608667,1322339,286327,70517,2588
