회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
주식회사성후,086355,2017/12,,,,,,,,,,,,,,,449455,0,449455,159729,289726,291674,53168
주식회사성후,086355,2018/12,,,,,,,,,,,,,,,2639073,0,2639073,525009,2114063,2114446,506885
주식회사성후,086355,2019/12,,,,,,,,,,,,,,,2625909,0,2625909,630395,1995514,1989254,430977
주식회사성후,086355,2020/12,,,,,,,,,,,,,,,2612285,0,2612285,668811,1943474,1945333,416610
주식회사성후,086355,2021/12,,,,,,,,,,,,,,,2607773,0,2607773,724189,1883583,1888157,408998
주식회사성후,086355,2022/12,,,,,,,,,,,,,,,2616600,0,2616600,834376,1782224,1782429,394340
주식회사성훈,094984,2019/12,,,,,,,,,,,,,,,10800,0,10800,35009,-24209,-85078,0
주식회사성훈,094984,2020/12,,,,,,,,,,,,,,,174703,54768,119935,351896,-231961,-716633,0
주식회사성훈,094984,2021/12,,,,,,,,,,,,,,,1052713,184269,868444,1193570,-325126,-1056273,0
주식회사성훈,094984,2022/12,,,,,,,,,,,,,,,1284200,282389,1001811,1305796,-303985,-1170343,0
주식회사성훈철강,056923,2012/12,,,,,,,,,,,,,,,47877596,42937358,4940238,1576104,3364134,3023313,1135303
주식회사성훈철강,056923,2013/12,,,,,,,,,,,,,,,47508504,41155914,6352590,1697462,4655128,4421418,1291388
주식회사성훈철강,056923,2014/12,,,,,,,,,,,,,,,38177809,30856128,7321681,2189492,5132190,4835540,1142326
주식회사성훈철강,056923,2015/12,,,,,,,,,,,,,,,33339137,28212497,5126640,2171494,2955147,5697532,1579432
주식회사성훈철강,056923,2016/12,,,,,,,,,,,,,,,36776651,31087798,5688854,2942733,2746120,2887265,1019976
주식회사성훈철강,056923,2017/12,,,,,,,,,,,,,,,43370872,35162461,8208410,2052594,6155816,6341216,1259663
주식회사성훈철강,056923,2018/12,,,,,,,,,,,,,,,35368556,27806642,7561914,2268280,5293634,5634406,1228706
주식회사성훈철강,056923,2019/12,,,,,,,,,,,,,,,33984416,27577413,6407003,2818280,3588722,4115506,1000934
주식회사성훈철강,056923,2020/12,,,,,,,,,,,,,,,33265152,28048689,5216463,2316270,2900193,3988855,973964
주식회사성훈철강,056923,2021/12,,,,,,,,,,,,,,,42173243,35990397,6182846,2611793,3571054,4999666,1215991
주식회사성훈철강,056923,2022/12,,,,,,,,,,,,,,,42305630,33127762,9177868,2540292,6637576,7819170,1378945
주식회사성희,063893,2012/12,,,,,,,,,,,,,,,9361665,6544148,2817517,1324522,1492995,880868,155695
주식회사성희,063893,2013/12,,,,,,,,,,,,,,,3750811,2008906,1741906,1259808,482097,273292,60852
주식회사성희,063893,2014/12,,,,,,,,,,,,,,,32632054,18346805,14285250,1706248,12579002,11645801,2582149
주식회사성희,063893,2015/12,,,,,,,,,,,,,,,9984563,4850189,5134374,2767613,2366762,2291245,557984
주식회사성희,063893,2016/12,,,,,,,,,,,,,,,10660691,5998318,4662372,3346802,1315570,1348704,197541
