회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)가든주류,097082,2019/12,,,,,,,,,,,,,,,50510093,41243653,9266440,7274819,1991621,1987458,428430
(유)가든주류,097082,2020/12,,,,,,,,,,,,,,,44082032,37729228,6352804,5737424,615380,598343,132310
(유)가든주류,097082,2021/12,,,,,,,,,,,,,,,38043897,33246849,4797048,4660491,136557,896783,216879
(유)가든주류,097082,2022/12,,,,,,,,,,,,,,,32820256,26724992,6095264,8844720,-2749456,-4544326,0
(유)기흥모터스,094470,2019/12,,,,,,,,,,,,,,,78427042,60652367,17774675,16733896,1040780,1351029,385409
(유)기흥모터스,094470,2020/12,,,,,,,,,,,,,,,91967057,67312462,24654594,19765360,4889234,5680961,1135061
(유)기흥모터스,094470,2021/12,,,,,,,,,,,,,,,89300081,61093578,28206504,21199942,7006561,6716778,1255285
(유)기흥모터스,094470,2022/12,,,,,,,,,,,,,,,100519010,76094941,24424069,21948663,2475406,3883224,831269
(유)나눔디앤씨,102441,2021/12,,,,,,,,,,,,,,,4206643,2956601,1250042,539565,710476,112310,11896
(유)나눔디앤씨,102441,2022/12,,,,,,,,,,,,,,,3853530,2707870,1145660,747060,398600,149079,16452
(유)남부상사,095606,2019/12,,,,,,,,,,,,,,,38335779,33168440,5167339,4227676,939663,1369316,297349
(유)남부상사,095606,2020/12,,,,,,,,,,,,,,,22025559,14191330,7834229,3967053,3867177,-1606747,265575
(유)남부상사,095606,2021/12,,,,,,,,,,,,,,,7547967,3919287,3628679,3063699,564981,561174,6292
(유)네이쳐우드,102984,2021/12,,,,,,,,,,,,,,,16562939,19669167,-3106228,1024072,-4130301,7156011,1906884
(유)네이쳐우드,102984,2022/12,,,,,,,,,,,,,,,13705853,12401400,1304453,508616,795838,-147495,15274
(주)21세기조선,040736,2012/12,,,,,,,,,,,,,,,44008632,29023973,14984659,14329777,654882,-47459742,0
(주)21세기종합건설,093640,2019/12,,,,,,,,,,,,,,,2272998,1927256,345742,631766,-286025,55299189,12689470
(주)21세기종합건설,093640,2020/12,,,,,,,,,,,,,,,1917368,1502801,414567,747422,-332855,-382546,0
(주)21세기종합건설,093640,2021/12,,,,,,,,,,,,,,,3983365,3949588,33777,823916,-790139,-1200689,0
(주)360퍼스펙티브,098947,2020/12,,,,,,,,,,,,,,,19792774,7707609,12085165,6635513,5449652,5635202,1535992
