회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)미르디앤씨,097915,2020/12,,,,,,,,,,,,,,,27847378,18364802,9482576,6371324,3111252,1677229,373898
(유)미르디앤씨,097915,2021/12,,,,,,,,,,,,,,,5879462,4947529,931933,1387726,-455793,-643640,0
(유)보문특수칼라,094606,2019/12,,,,,,,,,,,,,,,24172788,20351185,3821604,2389725,1431878,1067376,420001
(유)보문특수칼라,094606,2020/12,,,,,,,,,,,,,,,23472313,19971390,3500924,2462019,1038905,727156,295407
(유)보문특수칼라,094606,2021/12,,,,,,,,,,,,,,,25752465,20381503,5370961,2489776,2881185,2758398,659202
(유)보문특수칼라,094606,2022/12,,,,,,,,,,,,,,,28373371,23108971,5264399,2943446,2320953,2141160,327911
(유)비티투자,054082,2012/12,,,,,,,,,,,,,,,1210369,145120,1065249,1041858,23390,-1132550,0
(유)비티투자,054082,2013/12,,,,,,,,,,,,,,,1106485,201820,904666,896273,8392,-2868840,0
(유)비티투자,054082,2014/12,,,,,,,,,,,,,,,1464315,505212,959103,1064208,-105105,-664746,0
(유)비티투자,054082,2015/12,,,,,,,,,,,,,,,1660289,512666,1147623,1122560,25063,853104,0
(유)비티투자,054082,2019/12,,,,,,,,,,,,,,,5847756,2985724,2862033,928911,1933121,1983529,0
(유)비티투자,054082,2021/12,,,,,,,,,,,,,,,9300967,8292904,1008063,971326,36737,366270,88579
(유)비티투자,054082,2022/12,,,,,,,,,,,,,,,16239694,14730186,1509508,1193703,315804,412977,122272
(유)삼현개발,097520,2020/12,,,,,,,,,,,,,,,29347263,19321732,10025531,222906,9802625,7601754,0
(유)삼현개발,097520,2021/12,,,,,,,,,,,,,,,4670027,1456702,3213325,291588,2921737,2881198,517684
(유)새천안교통,089201,2018/12,,,,,,,,,,,,,,,25439895,23267833,2172062,2197143,-25081,-223436,0
(유)새천안교통,089201,2019/12,,,,,,,,,,,,,,,25820557,24230016,1590541,2382801,-792260,-921343,0
(유)새천안교통,089201,2020/12,,,,,,,,,,,,,,,22693710,22393108,300603,1888146,-1587544,-1368124,0
(유)새천안교통,089201,2021/12,,,,,,,,,,,,,,,26353056,24455286,1897770,1862082,35688,-37639,0
(유)새천안교통,089201,2022/12,,,,,,,,,,,,,,,28960143,27251283,1708860,2031678,-322818,-467715,0
(유)성문,093944,2019/12,,,,,,,,,,,,,,,15000166,12363504,2636662,1370405,1266257,1189048,104912
(유)성문,093944,2020/12,,,,,,,,,,,,,,,16822540,13382827,3439713,1747301,1692411,1782301,186204
(유)성문,093944,2021/12,,,,,,,,,,,,,,,23359220,18539241,4819979,1882769,2937210,3104923,395432
(유)성문,093944,2022/12,,,,,,,,,,,,,,,25061133,21743770,3317364,1793137,1524227,1384484,53016
(유)성우이앤씨,095499,2019/12,,,,,,,,,,,,,,,62451909,59010605,3441303,1449319,1991984,1730549,492764
(유)성우이앤씨,095499,2020/12,,,,,,,,,,,,,,,94521653,90189307,4332346,2253524,2078822,2407810,293245
(유)성우이앤씨,095499,2021/12,,,,,,,,,,,,,,,91496152,84147528,7348624,2450018,4898607,1163373,725092
(유)성우이앤씨,095499,2022/12,,,,,,,,,,,,,,,103727431,96671180,7056251,3098508,3957743,4090988,3653089
(유)성진실업,102431,2021/12,,,,,,,,,,,,,,,14720742,11979526,2741216,2394462,346754,212303,48539
(유)성진실업,102431,2022/12,,,,,,,,,,,,,,,16323102,14302763,2020339,1613410,406929,-91,16586
(주)목련,072646,2014/12,,,,,,,,,,,,,,,9856285,8590872,1265413,1030882,234530,25114,31724
(주)목련,072646,2015/12,,,,,,,,,,,,,,,13665793,10613830,3051963,1572353,1479610,996274,-9658
(주)목련,072646,2016/12,,,,,,,,,,,,,,,13895220,11120843,2774378,1414088,1360290,1042262,95117
