회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
(유)대인계육유통,096685,2019/12,,,,,,,,,,,,,,,57395937,39585390,17810547,3102617,14707930,17010899,3692986
(유)대인계육유통,096685,2020/12,,,,,,,,,,,,,,,56520017,38995786,17524231,3690337,13833893,15149428,3470351
(유)대인계육유통,096685,2021/12,,,,,,,,,,,,,,,57417082,42045781,15371301,6460504,8910797,10805885,2380157
(유)대인계육유통,096685,2022/12,,,,,,,,,,,,,,,53794729,42261577,11533152,5731608,5801544,8420905,1680987
(유)대흥주택산업,099046,2020/12,,,,,,,,,,,,,,,16269537,12155787,4113750,2226371,1887379,1210602,0
(유)대흥주택산업,099046,2021/12,,,,,,,,,,,,,,,2688026,1891275,796751,1869459,-1072708,-1413021,0
(유)더밸류디프리마,106693,2021/12,,,,,,,,,,,,,,,0,0,0,502031,-502031,-478144,0
(유)더밸류디프리마,106693,2022/12,,,,,,,,,,,,,,,0,0,0,1048562,-1048562,-1096923,0
(유)더본건설,094511,2019/12,,,,,,,,,,,,,,,20218231,17219153,2999078,964503,2034575,1994215,555592
(유)더본건설,094511,2020/12,,,,,,,,,,,,,,,20717893,17202552,3515342,797121,2718221,2821175,545665
(유)더본건설,094511,2021/12,,,,,,,,,,,,,,,16035696,14270389,1765307,1419028,346278,-120232,0
(유)동명정공,093691,2019/12,,,,,,,,,,,,,,,19977903,17335271,2642631,1859489,783142,390764,64691
(유)동명정공,093691,2020/12,,,,,,,,,,,,,,,21049931,18320344,2729587,2233628,495959,179955,20635
(유)동명정공,093691,2021/12,,,,,,,,,,,,,,,25880379,23040686,2839692,2355048,484644,176546,20247
(유)동명정공,093691,2022/12,,,,,,,,,,,,,,,32686414,28302542,4383872,2504245,1879627,1610548,326779
(유)딘텍스코리아,078313,2015/12,,,,,,,,,,,,,,,12414967,10653311,1761656,1169578,592078,179328,75519
(유)딘텍스코리아,078313,2016/12,,,,,,,,,,,,,,,12741501,11056658,1684842,965718,719125,281971,30119
(유)딘텍스코리아,078313,2019/12,,,,,,,,,,,,,,,11105439,11254615,-149176,1210420,-1359596,-1743836,0
(유)딘텍스코리아,078313,2020/12,,,,,,,,,,,,,,,6287123,6204965,82158,3387099,-3304941,-5835534,0
(유)라온,093415,2019/12,,,,,,,,,,,,,,,28355206,22714248,5640958,5420682,220276,591426,127230
(유)라온,093415,2020/12,,,,,,,,,,,,,,,23627632,18424267,5203365,5582450,-379084,-1685410,74986
(유)로젠택배광주지점,100026,2020/12,,,,,,,,,,,,,,,16026069,14104941,1921127,676103,1245025,1016760,0
(유)로젠택배광주지점,100026,2021/12,,,,,,,,,,,,,,,19183941,16975467,2208475,1008539,1199936,1047175,408884
(유)로젠택배광주지점,100026,2022/12,,,,,,,,,,,,,,,22733515,20407580,2325935,1362510,963425,663531,124310
(유)명지개발,093897,2019/12,,,,,,,,,,,,,,,0,0,0,190528,-190528,-405059,0
(유)명지개발,093897,2020/12,,,,,,,,,,,,,,,69095948,51212963,17882984,1359236,16523749,15819379,3108450
(유)명지개발,093897,2021/12,,,,,,,,,,,,,,,17274098,15973918,1300180,889031,411149,-172599,0
