회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원),[U01290100](계속사업손익)법인세비용(천원)
주식회사이에스알씨,086647,2017/12,,,,,,,,,,,,,,,118831,191705,-72874,28040,-100914,-190487,0
주식회사이에스알씨,086647,2018/12,,,,,,,,,,,,,,,7042902,4423273,2619629,438850,2180779,1736471,169442
주식회사이에스알씨,086647,2019/12,,,,,,,,,,,,,,,8687640,5001348,3686291,483791,3202500,2830809,308052
주식회사이에스알씨,086647,2020/12,,,,,,,,,,,,,,,11424801,6451995,4972806,646542,4326264,4107338,417398
주식회사이에스알씨,086647,2021/12,,,,,,,,,,,,,,,14918836,8644655,6274181,816457,5457724,5372309,878622
주식회사이에스알씨,086647,2022/12,,,,,,,,,,,,,,,12954777,7327195,5627582,964331,4663251,4736962,1222520
주식회사이에스알텍,087304,2017/12,,,,,,,,,,,,,,,0,0,0,33979,-33979,-730311,0
주식회사이에스알텍,087304,2018/12,,,,,,,,,,,,,,,12106000,9101088,3004912,895844,2109068,1915360,402000
주식회사이에스에스에스코,091943,2018/12,,,,,,,,,,,,,,,5890785,4259518,1631267,1982331,-351064,-350788,0
주식회사이에스에스에스코,091943,2019/12,,,,,,,,,,,,,,,29501644,14489743,15011900,3370153,11641748,8109254,1762036
주식회사이에스에스에스코,091943,2020/12,,,,,,,,,,,,,,,29639904,12017725,17622179,4379584,13242595,9933314,2185343
주식회사이에스에스에스코,091943,2021/12,,,,,,,,,,,,,,,12316332,9962694,2353638,2619457,-265820,-2741219,0
주식회사이에스에스에스코,091943,2022/12,,,,,,,,,,,,,,,11921082,8259074,3662009,2774757,887252,-1251374,-583857
주식회사이에스이,062070,2012/12,,,,,,,,,,,,,,,12106970,8804583,3302386,2514128,788258,409304,192447
주식회사이에스이,062070,2013/12,,,,,,,,,,,,,,,10514100,7835071,2679030,2396104,282926,121764,25706
주식회사이에스이,062070,2014/12,,,,,,,,,,,,,,,10636934,7728231,2908703,2445357,463346,123488,9296
주식회사이에스이,062070,2015/12,,,,,,,,,,,,,,,11897110,8405404,3491707,3094894,396812,179466,70125
주식회사이에스이,062070,2019/12,,,,,,,,,,,,,,,16293429,10474700,5818730,3995033,1823697,1717737,203431
주식회사이에스이,062070,2020/12,,,,,,,,,,,,,,,26563977,17060020,9503957,4726504,4777452,4623362,615766
주식회사이에스이,062070,2021/12,,,,,,,,,,,,,,,27226682,15794522,11432160,6453596,4978564,4579935,906971
주식회사이에스이,062070,2022/12,,,,,,,,,,,,,,,18451441,12279083,6172358,5564192,608166,601706,42857
주식회사이에스지,080942,2016/12,,,,,,,,,,,,,,,8882695,6899206,1983489,1569510,413979,289687,5333
주식회사이에스지,080942,2017/12,,,,,,,,,,,,,,,14370862,12688315,1682547,1368682,313865,68131,2261
주식회사이에스지,080942,2018/12,,,,,,,,,,,,,,,5007108,8138763,-3131656,1088899,-4220555,-5045804,0
주식회사이에스티,040943,2012/12,,,,,,,,,,,,,,,20373162,8872963,11500199,1836029,9664171,8726242,1664816
주식회사이에스티,040943,2013/12,,,,,,,,,,,,,,,15945615,7193443,8752172,1614187,7137984,6188173,1328935
주식회사이에스티,040943,2014/12,,,,,,,,,,,,,,,16301116,6396277,9904839,1490486,8414354,7966417,1619252
주식회사이에스티,040943,2015/12,,,,,,,,,,,,,,,11695121,7541092,4154028,1391227,2762802,1590435,706748
주식회사이에스티,080677,2016/12,,,,,,,,,,,,,,,15437955,11125595,4312360,1791699,2520661,2315491,432456
주식회사이에스티,040943,2016/12,,,,,,,,,,,,,,,15241990,7582263,7659727,1396961,6262766,5826508,1634154
주식회사이에스티,080677,2017/12,,,,,,,,,,,,,,,24121938,18062236,6059702,2538769,3520933,2627214,324374
주식회사이에스티,040943,2017/12,,,,,,,,,,,,,,,3345562,7010216,-3664654,1632436,-5297089,-5323192,0
주식회사이에스티,040943,2018/12,,,,,,,,,,,,,,,8807384,7284873,1522512,1179444,343067,332192,-1352997
주식회사이에스티,080677,2018/12,,,,,,,,,,,,,,,24751601,19215582,5536020,3102526,2433494,2948417,343596
주식회사이에스티,089803,2018/12,,,,,,,,,,,,,,,15467190,11088327,4378863,2793254,1585609,1671971,0
주식회사이에스티,089803,2019/12,,,,,,,,,,,,,,,17007692,13063289,3944403,2965061,979342,787644,128062
주식회사이에스티,080677,2019/12,,,,,,,,,,,,,,,30033546,22439141,7594405,4160841,3433564,3472570,146390
주식회사이에스티,040943,2019/12,,,,,,,,,,,,,,,6607522,5811939,795583,1185531,-389949,7649858,1111028
주식회사이에스티,040943,2020/12,,,,,,,,,,,,,,,10981573,3608098,7373476,1169525,6203951,6422946,1371919
주식회사이에스티,089803,2020/12,,,,,,,,,,,,,,,22081538,15742147,6339391,4544149,1795242,1575007,58489
주식회사이에스티,080677,2020/12,,,,,,,,,,,,,,,23665738,19067058,4598680,3849796,748884,614351,-711863
주식회사이에스티,040943,2021/12,,,,,,,,,,,,,,,12189244,3321531,8867713,1406313,7461400,7638197,1600721
주식회사이에스티,089803,2021/12,,,,,,,,,,,,,,,15328881,10265215,5063666,4505748,557918,468118,17646
주식회사이에스티,080677,2021/12,,,,,,,,,,,,,,,39262844,28783130,10479714,5357973,5121741,4930113,880948
주식회사이에스티,040943,2022/12,,,,,,,,,,,,,,,8523143,3167769,5355375,1678398,3676977,3341707,679861
주식회사이에스티,089803,2022/12,,,,,,,,,,,,,,,18394752,11963422,6431330,5269959,1161370,1228485,58865
주식회사이에스티,080677,2022/12,,,,,,,,,,,,,,,37392547,28956127,8436420,5453028,2983391,3114290,624208
주식회사이에이쉬핑,069963,2013/12,,,,,,,,,,,,,,,0,0,0,2342,-2342,-358748,0
주식회사이에이쉬핑,069963,2014/12,,,,,,,,,,,,,,,5067900,3092168,1975732,457242,1518490,1002238,0
주식회사이에이쉬핑,069963,2015/12,,,,,,,,,,,,,,,17536550,12554932,4981618,577330,4404288,2984073,110051
주식회사이에이쉬핑,069963,2016/12,,,,,,,,,,,,,,,19135397,13908761,5226635,682379,4544257,2518421,-97191
