회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,쭈피처,영업투자현금비율,영업재무현금비율,도입기,성숙기,성장기,쇠퇴기,부실판단
(주)지텍,73158,2022,0.89,1.08,0.88,1.47,44.31,16.8,7393.3,5467.7,81.19,-40.64,2.58,32.33,1.33,3.73,0.06,0.08,4.04,4.04,6.06,5.03,-0.0561791670142682,26.09330249662928,26.09,45.94,18.4,22.83,17.21,3722.84,11.7,18.59,19.56,0.42,74.66,0.598096266664102,5.76,5.03,1.03,0.69,0.67,0.96,2.2,10.0,0.1187735742816263,0.0240938925039307,-0.0214129480767355,1,0,0,0,0.0
삼정씨더블유주식회사,40609,2022,-25.72,-27.44,-6.22,-2.68,407.51,238.67,31.92,21.0,22.67,48.96,66.75,64.88,75.8,4.69,3.93,1.5,4.81,4.33,1.82,0.07,-0.037168333585438,5.41983104060004,5.42,8.26,0.54,20.56,4.25,5492.82,8.91,37.04,3.84,39.22,70.94,2.3220787789891566,8.75,5.7,9.05,2.61,2.38,6.63,3.72,23.0,0.0171227568216269,2.2415745782972505,-1.4154150850667333,1,0,0,0,0.0
(주)엔씨디지텍,80726,2022,-18.11,-18.72,-8.74,-4.44,170.06,81.46,93.35,73.13,46.69,26.5,1.56,64.32,51.72,8.43,4.29,1.83,6.64,6.63,2.92,0.85,-0.0958123148137643,36.35600368820956,36.36,20.23,79.86,-11.67,84.94,3624.26,12.28,39.1,6.23,29.41,52.64,1.9706117477866925,8.59,5.85,8.15,2.34,2.27,7.1,3.34,17.0,0.080220473008949,12.130458603531588,-1.9494388752968008,1,0,0,0,0.0
(주)신풍,46785,2014,2.73,4.42,2.52,2.36,53.17,30.64,1225.65,956.17,57.01,-33.78,7.43,38.35,7.54,-110.34,-19.53,-17.39,-16.71,-16.71,-14.89,2.85,-1.1563125257432318,10.81578565450529,10.82,68.77,-8.69,22.51,-10.45,-638.72,-4.76,-8.35,-4.46,0.0,0.0,1.0679245817141312,19.88,7.45,1.77,1.12,1.12,1.65,3.5,29.0,0.0708091474464858,3.6334238922742337,-0.5131844756902105,1,0,0,0,0.0
마스텍중공업(주),49203,2022,-9.92,-10.65,-9.83,-80.44,150.79,89.74,11289.667299999976,2920.7,90.31929999999996,12.93,2.4,38.39,0.8775999999999999,-164.6362,-13.61,-82.73,-2.24,-2.24,-13.8,10.65,-1.6484810537632797,97.21303286596832,97.21,-6.55,539.92,-11.57,11.32,-2019.35,-6.04,-210.55,-49.44,0.0,0.0,0.1222094341435238,0.58,0.54,4.49,0.16,0.16,0.34,0.31,23.0,0.290891633608926,0.3465397508722973,-0.255832159859098,1,0,0,0,0.0
(주)제이엠디앤아이,100456,2022,-37.78,-43.96,-30.49,-210.36,618.17,394.24,418.72,83.49,69.37,83.41,31.69,99.4781,19.28,-29.6,-7.19,-46.2,-4.66,-4.67,-30.13,15.95,-0.2005785567926075,15.057826864519136,15.06,15.02,24.14,284.302499999996,-3.0,-754.38,-2.99,-1374.371,-20.59,0.0,0.0,0.1449651790223598,0.0,0.26,231.47,0.16,0.16,32.18,0.16,17.0,0.5072830613479382,2.715624630937478,-1.0325711029704532,1,0,0,0,0.0
(주)레이크머티리얼즈,60491,2019,2.05,2.45,1.29,2.81,89.14,46.89,170.67,107.32,52.83,-4.31,6.09,35.34,36.95,6.81,2.63,5.3,3.56,3.53,7.16,3.38,-0.0211224643436328,14.87720541994902,15.13,31.45,7.81,-1.38,7.17,8574.02,11.36,19.51,24.68,21.47,81.01,0.4611985736774066,3.99,2.99,0.82,0.5,0.49,0.74,1.48,14.0,0.1583948648884833,0.0426820572066315,-0.0344563538941714,1,0,0,0,0.0
장일산업주식회사,99365,2022,2.61,3.35,2.2,1.37,53.59,36.54,530.5,502.59,65.46,-36.99,3.16,42.72,15.86,-2.84,-0.47,-0.28,2.02,1.98,1.2,1.57,0.0811157372726662,6.086813384361808,6.09,33.09,-7.86,8.85,-8.14,1896.2,17.6,31.85,10.95,-2.6,66.64,1.6071658055341391,6.94,5.9,2.72,1.67,1.65,2.69,4.3,39.0,0.0980638036288365,4.011073140194781,-0.5567757375461189,1,0,0,0,0.0
(주)하드램,43065,2022,21.11,27.76,14.38,17.3,172.79,152.36,213.76,132.0,51.81,30.62,36.55,72.69,31.87,10.72,3.69,3.92,8.98,8.74,9.51,1.92,-0.308764956836812,23.77929905868673,23.78,5.11,134.83,-37.47,159.64,3342.23,11.77,57.25,14.16,27.69,55.71,0.8314066978218817,3.76,1.33,5.84,0.94,0.92,4.27,1.17,24.0,0.2813541221094013,0.0398843090730549,-0.0833299656795005,1,0,0,0,0.0
(주)엘림비엠에스,79189,2022,3.98,10.25,3.14,1.22,170.07,159.7,370.42,166.19,30.61,24.76,15.37,60.08,21.26,2.5,0.6,0.2,5.75,5.31,1.97,0.51,-0.0480280444573514,10.691661332192616,10.69,16.48,2.99,13.05,-8.55,2849.34,17.35,122.7,6.77,3.02,35.24,2.5639684763056416,11.13,4.82,17.32,2.96,2.69,6.52,4.59,24.0,0.0746572784763519,0.2847991158230827,-0.3195169804388814,1,0,0,0,0.0
