회사명,거래소코드,회계년도,[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B200000000]매출원가(*)(IFRS연결)(천원),[U01B201014400]매출총이익(손실)(IFRS연결)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS연결)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS연결)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS연결)(천원),[U01B750000000]법인세비용(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01B200000000]매출원가(*)(IFRS)(천원),[U01B201014400]매출총이익(손실)(IFRS)(천원),[U01B420000000]* (정상)영업손익(보고서기재)(IFRS)(천원),[U01B430000000]* (정상)영업손익(계산수치)(IFRS)(천원),[U01B700000000]법인세비용차감전순이익(손실)(IFRS)(천원),[U01B750000000]법인세비용(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01220010]매출원가(*)(연결)(천원),[U01221340]매출총이익(손실)(연결)(천원),[U01222170]판매비와관리비(영업비용)(*)(연결)(천원),[U01230000]영업이익(손실)(연결)(천원),[U01290000]법인세비용차감전(계속사업)손익(연결)(천원),[U01290100](계속사업손익)법인세비용(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01220010]매출원가(*)(천원),[U01221340]매출총이익(손실)(천원),[U01222170]판매비와관리비(영업비용)(*)(천원),[U01230000]영업이익(손실)(천원),[U01290000]법인세비용차감전(계속사업)손익(천원)
(주)노브메타파마,229500,2016/12,2907831,1649031,1258800,-4251494,-4251494,-4106008,20448,421941,475863,-53922,-4448358,-4448358,-4291573,0,2907831,1649031,1258800,5510294,-4251494,-4106008,20448,421941,475863,-53922,4394436,-4448358,-4291573
(주)노브메타파마,229500,2017/12,784141,586776,197365,-5510512,-5510512,-6075787,0,200221,192388,7832,-5433777,-5433777,-5967158,0,784141,586776,197365,5707877,-5510512,-6075787,0,200221,192388,7832,5441609,-5433777,-5967158
(주)노브메타파마,229500,2018/12,890666,839739,50926,-13455344,-13455344,-13177371,0,16384,7129,9255,-13002730,-13002730,-12710679,0,890666,839739,50926,13506271,-13455344,-13177371,0,16384,7129,9255,13011985,-13002730,-12710679
(주)노브메타파마,229500,2019/12,142957,134403,8554,-12536645,-12536645,-12530405,0,63,150,-87,-11916612,-11916612,-11956843,0,142957,134403,8554,12545199,-12536645,-12530405,0,63,150,-87,11916526,-11916612,-11956843
(주)노브메타파마,229500,2020/12,44304,36710,7594,-6581517,-6581517,-6725291,0,0,0,0,-6202833,-6202833,-6363799,0,44304,36710,7594,6589111,-6581517,-6725291,0,0,0,0,6202833,-6202833,-6363799
(주)노브메타파마,229500,2021/12,74484,37003,37481,-6900305,-6900305,-7516838,0,0,0,0,-5509773,-5509773,-6474704,0,74484,37003,37481,6937786,-6900305,-7516838,0,0,0,0,5509773,-5509773,-6474704
(주)노브메타파마,229500,2022/12,,,,,,,,31480,15306,16174,-7455615,-7455615,-6142414,0,,,,,,,,31480,15306,16174,7471789,-7455615,-6142414
(주)다원넥스뷰,323350,2019/12,,,,,,,,,,,,,,,,,,,,,,2702084,1329380,1372703,1283211,89492,40047
(주)다원넥스뷰,323350,2020/12,,,,,,,,,,,,,,,,,,,,,,4026396,3414530,611866,1714196,-1102330,-2781865
(주)다원넥스뷰,323350,2021/12,,,,,,,,,,,,,,,,,,,,,,12556683,10124727,2431956,1901188,530768,506974
(주)다원넥스뷰,323350,2022/12,,,,,,,,10991070,7423090,3567980,1087689,1087689,-989143,-147065,,,,,,,,10991070,7423090,3567980,2480291,1087689,-989143
(주)더콘텐츠온,302920,2018/12,,,,,,,,,,,,,,,,,,,,,,14470489,11858246,2612243,1879863,732380,331935
(주)더콘텐츠온,302920,2019/12,,,,,,,,,,,,,,,,,,,,,,30662946,25576074,5086872,2321352,2765521,1459347
(주)더콘텐츠온,302920,2020/12,,,,,,,,,,,,,,,,,,,,,,22297117,18595130,3701987,1997130,1704856,-2516996
(주)더콘텐츠온,302920,2021/12,,,,,,,,,,,,,,,,,,,,,,26572717,23515927,3056791,1848146,1208645,698908
(주)더콘텐츠온,302920,2022/12,,,,,,,,,,,,,,,,,,,,,,21473919,18699308,2774611,1942028,832583,-3925556
(주)데이터스트림즈,199150,2014/12,,,,,,,,,,,,,,,,,,,,,,18309175,11776867,6532308,6126356,405952,220704
(주)데이터스트림즈,199150,2015/12,,,,,,,,,,,,,,,,,,,,,,14296823,9151979,5144844,7041938,-1897093,-2373425
(주)데이터스트림즈,199150,2016/12,16842387,10478207,6364180,-1209037,-1209037,-1137075,542998,16836610,10473862,6362748,-1033139,-1033139,-961308,542998,16842387,10478207,6364180,7573218,-1209037,-1137075,542998,16836610,10473862,6362748,7395887,-1033139,-961308
(주)데이터스트림즈,199150,2017/12,15103372,10196266,4907105,-2109314,-2109314,-2103518,0,15100120,10196266,4903853,-1806085,-1806085,-2181552,0,15103372,10196266,4907105,7016419,-2109314,-2103518,0,15100120,10196266,4903853,6709938,-1806085,-2181552
(주)데이터스트림즈,199150,2018/12,18342167,12023794,6318373,-71951,-71951,-86690,0,18322411,12023794,6298617,286834,286834,132960,0,18342167,12023794,6318373,6390325,-71951,-86690,0,18322411,12023794,6298617,6011783,286834,132960
(주)데이터스트림즈,199150,2019/12,22944521,16160573,6783948,-1056879,-1056879,-906909,0,22851566,16157605,6693961,-537251,-537251,-1045251,0,22944521,16160573,6783948,7840827,-1056879,-906909,0,22851566,16157605,6693961,7231212,-537251,-1045251
(주)데이터스트림즈,199150,2020/12,20262705,10127236,10135469,602166,602166,977146,0,20188995,10127225,10061770,957340,957340,873209,0,20262705,10127236,10135469,9533303,602166,977146,0,20188995,10127225,10061770,9104431,957340,873209
(주)데이터스트림즈,199150,2021/12,23317256,11244643,12072614,799527,799527,1080250,110220,23086297,11131793,11954504,1022218,1022218,1040450,110220,23317256,11244643,12072614,11273087,799527,1080250,110220,23086297,11131793,11954504,10932286,1022218,1040450
(주)데이터스트림즈,199150,2022/12,30593964,17467566,13126398,-2342566,-2342566,-2235767,0,30532301,17567887,12964414,-1943779,-1943779,-2250189,0,30593964,17467566,13126398,15468965,-2342566,-2235767,0,30532301,17567887,12964414,14908193,-1943779,-2250189
(주)듀켐바이오,176750,2014/12,,,,,,,,,,,,,,,27987297,18157048,9830249,7895945,1934304,179904,4306,17342386,12078297,5264088,3874902,1389186,187667
(주)듀켐바이오,176750,2015/12,,,,,,,,,,,,,,,23794011,21389308,2404703,7551553,-5146850,-11259749,336270,12380827,12848047,-467219,3232689,-3699909,-11228612
(주)듀켐바이오,176750,2016/12,,,,,,,,,,,,,,,26299773,23038311,3261462,7742491,-4481029,-8295793,537337,13241524,13302191,-60666,4434002,-4494668,-8337638
(주)듀켐바이오,176750,2017/12,23463195,19950366,3512829,-3490704,-3490704,-2664663,148335,13364236,12071621,1292615,-2230388,-2230388,-2677990,-7187,23463195,19950366,3512829,7003532,-3490704,-2664663,148335,13364236,12071621,1292615,3523003,-2230388,-2677990
(주)듀켐바이오,176750,2018/12,22076348,18065054,4011294,-3024074,-3024074,-8201967,670287,17213944,15150494,2063450,-2462145,-2462145,-7806391,0,22076348,18065054,4011294,7035368,-3024074,-8201967,670287,17213944,15150494,2063450,4525595,-2462145,-7806391
(주)듀켐바이오,176750,2019/12,21777640,16959841,4817799,-3802879,-3802879,-11730257,409576,15985130,14412438,1572691,-4052648,-4052648,-15121581,0,21777640,16959841,4817799,8620678,-3802879,-11730257,409576,15985130,14412438,1572691,5625340,-4052648,-15121581
(주)듀켐바이오,176750,2020/12,20281736,15520541,4761195,-3352152,-3352152,-7917414,-41181,15630616,13335158,2295458,-2781564,-2781564,-7163984,0,20281736,15520541,4761195,8113347,-3352152,-7917414,-41181,15630616,13335158,2295458,5077022,-2781564,-7163984
(주)듀켐바이오,176750,2021/12,10984824,7784223,3200601,451741,451741,1447048,0,10421869,7512186,2909683,605356,605356,1608194,0,10984824,7784223,3200601,2748860,451741,1447048,0,10421869,7512186,2909683,2304328,605356,1608194
(주)듀켐바이오,176750,2022/12,,,,,,,,32422307,23723708,8698599,1555010,1555010,-2696787,134740,,,,,,,,32422307,23723708,8698599,7143589,1555010,-2696787
(주)디피코,163430,2018/12,,,,,,,,,,,,,,,,,,,,,,11935143,9649127,2286016,2001099,284917,31383
(주)디피코,163430,2019/12,,,,,,,,,,,,,,,,,,,,,,6466738,4778840,1687898,1535899,151999,-46761
(주)디피코,163430,2020/12,,,,,,,,,,,,,,,,,,,,,,3369240,2842470,526770,6566365,-6039596,-7018911
(주)디피코,163430,2021/12,,,,,,,,12914747,22603729,-9688982,-17410515,-17410515,-34034350,23719,,,,,,,,12914747,22603729,-9688982,7721533,-17410515,-34034350
(주)디피코,163430,2022/12,,,,,,,,12695389,19060850,-6365461,-15142872,-15142872,-11794822,-44997,,,,,,,,12695389,19060850,-6365461,8777410,-15142872,-11794822
(주)라피치,403360,2021/12,,,,,,,,,,,,,,,,,,,,,,7023133,3990243,3032890,2772886,260004,322063
(주)라피치,403360,2022/12,,,,,,,,10512060,5691528,4820532,762341,762341,781648,109018,,,,,,,,10512060,5691528,4820532,4058191,762341,781648
(주)로보쓰리에이아이앤로보틱스,238500,2016/12,,,,,,,,56484,224046,-167562,-783217,-783217,-823656,-152914,,,,,,,,56484,224046,-167562,615655,-783217,-823656
