,회사명,거래소코드,회계년도,GAAP(개별) 기업수명주기,GAAP(연결) 기업수명주기,IFRS(개별) 기업수명주기,IFRS(개별)(비교) 기업수명주기,IFRS(연결) 기업수명주기,IFRS(연결)(비교) 기업수명주기
198,(주)바이오인프라생명과학,266470,2016/12,쇠퇴기,,,쇠퇴기,,쇠퇴기
199,(주)바이오인프라생명과학,266470,2017/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
200,(주)바이오인프라생명과학,266470,2018/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기
201,(주)바이오인프라생명과학,266470,2019/12,도입기,도입기,도입기,도입기,도입기,도입기
202,(주)바이오인프라생명과학,266470,2020/12,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,쇠퇴기,
203,(주)바이오인프라생명과학,266470,2021/12,도입기,,도입기,도입기,,
204,(주)바이오인프라생명과학,266470,2022/12,쇠퇴기,,쇠퇴기,,,
205,(주)바이오프로테크,199290,2013/12,성장기,,,,,
206,(주)바이오프로테크,199290,2014/12,도입기,,,,,
207,(주)바이오프로테크,199290,2015/12,도입기,,,,,
208,(주)바이오프로테크,199290,2016/12,성장기,,,,,
209,(주)바이오프로테크,199290,2017/12,,,,,,
210,(주)바이오프로테크,199290,2018/12,쇠퇴기,,,,,
211,(주)바이오프로테크,199290,2019/12,도입기,,,,,
212,(주)바이오프로테크,199290,2020/12,성숙기,,,,,
213,(주)바이오프로테크,199290,2021/12,쇠퇴기,,,,,
