,회사명,거래소코드,회계년도,PER,PBR,PCR,PSR
0,(주)CMG제약,58820,2012/12,-9.3006993006993,2779.74245256157,-55840.66461441414,5402.14498711781
1,(주)CMG제약,58820,2013/12,186.4,1647.769783633504,-20496.56579249675,3957.2436573810396
2,(주)CMG제약,58820,2014/12,456.0,1612.2334499338444,108986.70809622937,3472.2957969081667
3,(주)CMG제약,58820,2015/12,-50.23809523809524,3980.336929043435,77299.31057316701,6889.576034873889
4,(주)CMG제약,58820,2016/12,167.3684210526316,3419.0200959601125,104080.81887135119,10485.012763034078
5,(주)CMG제약,58820,2017/12,240.0,6937.191361935025,348781.5232797731,16358.415404158959
6,(주)CMG제약,58820,2018/12,75.625,4434.78834122641,520013.9813189081,9247.758835885415
7,(주)CMG제약,58820,2019/12,170.0,3276.518998574159,209072.30818871094,10069.345634328802
8,(주)CMG제약,58820,2020/12,2890.0,4432.135595737105,272662.49010202463,12454.21234609286
9,(주)CMG제약,58820,2021/12,166.7391304347826,2883.8362937319084,94632.74403672658,7666.757150463524
10,(주)CMG제약,58820,2022/12,-716.6666666666666,1614.5631613520873,60479.04823242296,3632.9408019060456
11,(주)ES큐브,50120,2012/12,155.9090909090909,2013.0249396627132,15357.365179905906,1433.5695486104653
12,(주)ES큐브,50120,2013/12,-3.283582089552239,1326.32725516869,21690.527151888473,959.0828167159268
13,(주)ES큐브,50120,2014/12,-21.136363636363637,1025.79383458453,17618.85702469185,1145.044299225402
14,(주)ES큐브,50120,2015/12,16.377551020408163,1179.5876589937743,-21082.36601570205,1389.5057073918426
15,(주)ES큐브,50120,2016/12,3.8926940639269407,989.7983538774943,57190.212172423184,2069.58227845148
16,(주)ES큐브,50120,2017/12,73.57142857142857,1177.4789804232205,37101.32490227081,2398.6135437360826
17,(주)ES큐브,50120,2018/12,-14.521739130434783,785.9710944132087,-41265.3354962999,1646.9366889246223
18,(주)ES큐브,50120,2019/12,-5.3924050632911396,956.1401404177329,936.0844318321789,1619.630414760018
19,(주)ES큐브,50120,2020/12,-0.20180831826401446,1089.0644224677037,-2022.6276406796255,938.209085843149
20,(주)ES큐브,50120,2021/12,11.670588235294117,580.7065202445737,971.0327131925688,534.8542365086114
21,(주)ES큐브,50120,2022/12,9.976525821596244,522.1716989335064,-1077.8184895395225,766.4481642242289
22,(주)MH에탄올,23150,2012/12,7.5340599455040875,487.798620398138,-3945.006748601056,323.83454907231146
23,(주)MH에탄올,23150,2013/12,-1.8001204093919325,456.1351518211964,3423.2628127018916,336.4957881675894
24,(주)MH에탄올,23150,2014/12,11.625,1039.9243246861954,10640.405115187865,1120.7022471376802
25,(주)MH에탄올,23150,2015/12,8.271954674220963,1116.6384542612186,4829.316275039289,1282.8092595109815
26,(주)MH에탄올,23150,2016/12,7.00354609929078,916.7761734895458,4760.016319023184,1192.1043335458548
27,(주)MH에탄올,23150,2017/12,7.694174757281553,437.8605185093332,14018.998180940936,900.008389073872
28,(주)MH에탄올,23150,2018/12,6.167539267015707,474.5241435833388,-3856.3260500374945,597.0053289978855
29,(주)MH에탄올,23150,2019/12,-8.164893617021276,570.6597349658065,3984.90848787806,560.1448839680224
30,(주)MH에탄올,23150,2020/12,47.247191011235955,771.5638388050953,3268.4120096939837,655.6421043006717
31,(주)MH에탄올,23150,2021/12,13.438735177865613,888.5241843890003,2853.877729630216,737.3687054016326
32,(주)MH에탄올,23150,2022/12,8.717067583046964,588.5945569751364,3407.7406349704966,507.12937802776355
33,(주)가온칩스,399720,2022/12,33.97129186602871,2999.375282385122,27554.6140264675,3765.7488988182386
34,(주)강스템바이오텍,217730,2015/12,-18.600682593856654,7091.711621150898,-39633.1536327139,101446.61533497734
35,(주)강스템바이오텍,217730,2016/12,-18.21247892074199,6680.942446963389,-19688.988025954346,182138.71536120455
36,(주)강스템바이오텍,217730,2017/12,-16.778523489932887,8297.730882683854,-19080.388797870997,22243.266926451604
37,(주)강스템바이오텍,217730,2018/12,-29.579375848032566,9541.20464448967,-39556.462534888706,49532.03917667363
38,(주)강스템바이오텍,217730,2019/12,-6.783333333333333,2853.4583815803776,-14719.577149583949,32656.29724557105
39,(주)강스템바이오텍,217730,2020/12,-9.050343249427918,4126.933061007933,-14343.697808850846,21966.689142295087
40,(주)강스템바이오텍,217730,2021/12,-4.455040871934605,1882.9103063248456,-7313.2453052382225,10018.628998042268
41,(주)강스템바이오텍,217730,2022/12,-5.5566218809980805,2328.079094895178,-5832.567677364719,6749.805818482578
42,(주)강원에너지,114190,2012/12,5.04581901489118,1545.2940262706836,-17741.03058945923,524.0606022393996
43,(주)강원에너지,114190,2013/12,6.826625386996904,608.8073972764877,1645.2889590011284,551.3223057362914
44,(주)강원에너지,114190,2014/12,26.3125,600.5090724560496,-2074.801473875308,588.4265287209705
45,(주)강원에너지,114190,2015/12,49.48275862068966,773.6510796595661,4608.4814902542885,947.7692643372409
46,(주)강원에너지,114190,2016/12,-54.8,758.6548563779606,-2647.847854354659,988.3140144127317
47,(주)강원에너지,114190,2017/12,-6.043689320388349,786.287328677861,-10245.99662028187,462.9746311776916
48,(주)강원에너지,114190,2018/12,21.076923076923077,838.6889645420008,-4138.891500464215,490.13580281045313
49,(주)강원에너지,114190,2019/12,-1.7988668555240792,3146.1204647330815,9548.840523967576,1561.950372673111
50,(주)강원에너지,114190,2020/12,-3.2175032175032174,2654.795284229874,-10123.823528427702,1183.6505675839296
51,(주)강원에너지,114190,2021/12,8.710801393728223,2283.993206452506,-14536.920485614686,1478.780239208928
