,회사명_x,거래소코드,회계년도,종가(원)_x,현재까지 발행한 주식의 총수(주),현재까지 감소한 주식의 총수(주),발행주식의 총수 (현재 발행한 주식수 - 현재 감소한 주식수)(주),발행주식수(주),발행주식수(주).1,[U01B840000000]당기순이익(손실)(요약)(IFRS연결)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS연결)(백만원),[U01D101000000]   당기순손익(요약)(IFRS연결)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS연결)(백만원),[U01B840000000]당기순이익(손실)(요약)(IFRS)(백만원),[U01C500011300]   당기순이익(총포괄손익)(요약)(IFRS)(백만원),[U01D101000000]   당기순손익(요약)(IFRS)(백만원),[U01E100099100]   당기순이익(순손실)(요약)(IFRS)(백만원),[U01119300]      *당기순이익(요약)(백만원),[U01218800]당기순이익(요약)(백만원),[U01219300]CPA수정후 당기순이익(요약)(백만원),[U01311400]   당기순이익(요약)(백만원),[U01410100]   당기순이익(요약)(백만원),[U01550700]   당기순이익(요약)(백만원),[U01A600000000]자본(*)(요약)(IFRS연결)(백만원),[U01A600000000]자본(*)(IFRS연결)(백만원),[U01A600000000]자본(*)(요약)(IFRS)(백만원),[U01A600000000]자본(*)(IFRS)(천원),[U01119400]자본총계(요약)(천원),[U01160000]자본(*)(연결)(천원),[U01160000]자본(*)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS연결)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS)(백만원),[U01410000]영업활동으로 인한 현금흐름(요약)(백만원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS연결)(천원),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(IFRS)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(연결)(천원),[U01410000]영업활동으로 인한 현금흐름(*)(천원),[U01B100000000]매출액(수익)(요약)(IFRS연결)(백만원),[U01B100000000]매출액(수익)(요약)(IFRS)(백만원),[U01210000]매출액(요약)(백만원),[U01B100000000]매출액(수익)(*)(IFRS연결)(천원),[U01B100000000]매출액(수익)(*)(IFRS)(천원),[U01210000]매출액(영업수익)(*)(연결)(천원),[U01210000]매출액(영업수익)(*)(천원),[U01B951020000]*주당순손익(요약)(IFRS연결)(원),[U01B951020000]*주당순손익(요약)(IFRS)(원),[U01219000]주당순이익(요약)(원),[U01B951020000]*주당순손익(IFRS연결)(원),[U01B951020000]*주당순손익(IFRS)(원),[U01290400]*주당순손익(연결)(원),[U01290400]*주당순손익(원),당기순이익(천원),주당순이익(원),주당순자산(원),회사명_y,종가(원)_y
1070,(주)판도라티비,202960,2016/12,,11840814.0,467691.0,11373123.0,11373123.0,11373123.0,435.0,505.0,435.0,0.0,282.0,282.0,282.0,282.0,282.0,282.0,0.0,282.0,282.0,282.0,9587.0,9587429.0,9407.0,9407202.0,9407.0,9587429.0,9407202.0,321.0,1793.0,1793.0,321198.0,1792886.0,321198.0,1792886.0,13518.0,11694.0,11694.0,13518115.0,11694043.0,13518115.0,11694043.0,40.0,26.0,26.0,40.0,26.0,40.0,26.0,282182.0,26.0,0.0,판도라티비,2200
1071,(주)판도라티비,202960,2016/12,,15965572.0,4592449.0,11373123.0,11373123.0,11373123.0,435.0,505.0,435.0,0.0,282.0,282.0,282.0,282.0,282.0,282.0,0.0,282.0,282.0,282.0,9587.0,9587429.0,9407.0,9407202.0,9407.0,9587429.0,9407202.0,321.0,1793.0,1793.0,321198.0,1792886.0,321198.0,1792886.0,13518.0,11694.0,11694.0,13518115.0,11694043.0,13518115.0,11694043.0,40.0,26.0,26.0,40.0,26.0,40.0,26.0,282182.0,26.0,0.0,판도라티비,2200
1072,(주)판도라티비,202960,2016/12,,4124758.0,4124758.0,0.0,11373123.0,11373123.0,435.0,505.0,435.0,0.0,282.0,282.0,282.0,282.0,282.0,282.0,0.0,282.0,282.0,282.0,9587.0,9587429.0,9407.0,9407202.0,9407.0,9587429.0,9407202.0,321.0,1793.0,1793.0,321198.0,1792886.0,321198.0,1792886.0,13518.0,11694.0,11694.0,13518115.0,11694043.0,13518115.0,11694043.0,40.0,26.0,26.0,40.0,26.0,40.0,26.0,282182.0,26.0,0.0,판도라티비,2200
1073,(주)판도라티비,202960,2017/12,,15968572.0,4592449.0,11376123.0,11376123.0,11376123.0,1818.0,1818.0,1818.0,0.0,869.0,869.0,869.0,869.0,869.0,869.0,0.0,869.0,869.0,869.0,11407.0,11406655.0,10278.0,10278303.0,10278.0,11406655.0,10278303.0,2253.0,2102.0,2102.0,2252567.0,2102220.0,2252567.0,2102220.0,19110.0,10931.0,10931.0,19109635.0,10930655.0,19109635.0,10930655.0,160.0,77.0,77.0,160.0,77.0,160.0,77.0,869432.0,77.0,0.0,판도라티비,2500
1074,(주)판도라티비,202960,2017/12,,4124758.0,4124758.0,0.0,11376123.0,11376123.0,1818.0,1818.0,1818.0,0.0,869.0,869.0,869.0,869.0,869.0,869.0,0.0,869.0,869.0,869.0,11407.0,11406655.0,10278.0,10278303.0,10278.0,11406655.0,10278303.0,2253.0,2102.0,2102.0,2252567.0,2102220.0,2252567.0,2102220.0,19110.0,10931.0,10931.0,19109635.0,10930655.0,19109635.0,10930655.0,160.0,77.0,77.0,160.0,77.0,160.0,77.0,869432.0,77.0,0.0,판도라티비,2500
1075,(주)판도라티비,202960,2017/12,,11843814.0,467691.0,11376123.0,11376123.0,11376123.0,1818.0,1818.0,1818.0,0.0,869.0,869.0,869.0,869.0,869.0,869.0,0.0,869.0,869.0,869.0,11407.0,11406655.0,10278.0,10278303.0,10278.0,11406655.0,10278303.0,2253.0,2102.0,2102.0,2252567.0,2102220.0,2252567.0,2102220.0,19110.0,10931.0,10931.0,19109635.0,10930655.0,19109635.0,10930655.0,160.0,77.0,77.0,160.0,77.0,160.0,77.0,869432.0,77.0,0.0,판도라티비,2500
1076,(주)판도라티비,202960,2018/12,,12383273.0,467691.0,11915582.0,11915582.0,11915582.0,-2363.0,-2363.0,-2363.0,0.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,9343.0,9342522.0,8137.0,8136856.0,8137.0,9342522.0,8136856.0,2312.0,1508.0,1508.0,2312447.0,1508362.0,2312447.0,1508362.0,16826.0,8460.0,8460.0,16826178.0,8459782.0,16826178.0,8459782.0,0.0,-208.0,-208.0,0.0,-208.0,-201.0,-208.0,-2440186.0,-208.0,0.0,판도라티비,1200
1077,(주)판도라티비,202960,2018/12,,4124758.0,4124758.0,0.0,11915582.0,11915582.0,-2363.0,-2363.0,-2363.0,0.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,9343.0,9342522.0,8137.0,8136856.0,8137.0,9342522.0,8136856.0,2312.0,1508.0,1508.0,2312447.0,1508362.0,2312447.0,1508362.0,16826.0,8460.0,8460.0,16826178.0,8459782.0,16826178.0,8459782.0,0.0,-208.0,-208.0,0.0,-208.0,-201.0,-208.0,-2440186.0,-208.0,0.0,판도라티비,1200
1078,(주)판도라티비,202960,2018/12,,16508031.0,4592449.0,11915582.0,11915582.0,11915582.0,-2363.0,-2363.0,-2363.0,0.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,-2440.0,9343.0,9342522.0,8137.0,8136856.0,8137.0,9342522.0,8136856.0,2312.0,1508.0,1508.0,2312447.0,1508362.0,2312447.0,1508362.0,16826.0,8460.0,8460.0,16826178.0,8459782.0,16826178.0,8459782.0,0.0,-208.0,-208.0,0.0,-208.0,-201.0,-208.0,-2440186.0,-208.0,0.0,판도라티비,1200
1079,(주)판도라티비,202960,2019/12,,16508031.0,4592449.0,11915582.0,11915582.0,11915582.0,-1133.0,-1133.0,-1133.0,0.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,7239.0,7239139.0,7278.0,7277575.0,7278.0,7239139.0,7277575.0,1552.0,2128.0,2128.0,1551883.0,2127893.0,1551883.0,2127893.0,13122.0,4822.0,4822.0,13121628.0,4822003.0,13121628.0,4822003.0,-96.0,9.0,9.0,-96.0,9.0,-96.0,9.0,111246.0,9.0,0.0,판도라티비,549
1080,(주)판도라티비,202960,2019/12,,12383273.0,467691.0,11915582.0,11915582.0,11915582.0,-1133.0,-1133.0,-1133.0,0.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,7239.0,7239139.0,7278.0,7277575.0,7278.0,7239139.0,7277575.0,1552.0,2128.0,2128.0,1551883.0,2127893.0,1551883.0,2127893.0,13122.0,4822.0,4822.0,13121628.0,4822003.0,13121628.0,4822003.0,-96.0,9.0,9.0,-96.0,9.0,-96.0,9.0,111246.0,9.0,0.0,판도라티비,549
1081,(주)판도라티비,202960,2019/12,,4124758.0,4124758.0,0.0,11915582.0,11915582.0,-1133.0,-1133.0,-1133.0,0.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,111.0,7239.0,7239139.0,7278.0,7277575.0,7278.0,7239139.0,7277575.0,1552.0,2128.0,2128.0,1551883.0,2127893.0,1551883.0,2127893.0,13122.0,4822.0,4822.0,13121628.0,4822003.0,13121628.0,4822003.0,-96.0,9.0,9.0,-96.0,9.0,-96.0,9.0,111246.0,9.0,0.0,판도라티비,549
1082,(주)판도라티비,202960,2020/12,,12383273.0,467691.0,11915582.0,11915582.0,11915582.0,276.0,295.0,276.0,0.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,7116.0,7115617.0,6940.0,6939905.0,6940.0,7115617.0,6939905.0,1677.0,797.0,797.0,1676540.0,796919.0,1676540.0,796919.0,13022.0,4202.0,4202.0,13021809.0,4201878.0,13021809.0,4201878.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,91749.0,8.0,0.0,판도라티비,791
1083,(주)판도라티비,202960,2020/12,,16508031.0,4592449.0,11915582.0,11915582.0,11915582.0,276.0,295.0,276.0,0.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,7116.0,7115617.0,6940.0,6939905.0,6940.0,7115617.0,6939905.0,1677.0,797.0,797.0,1676540.0,796919.0,1676540.0,796919.0,13022.0,4202.0,4202.0,13021809.0,4201878.0,13021809.0,4201878.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,91749.0,8.0,0.0,판도라티비,791
1084,(주)판도라티비,202960,2020/12,,4124758.0,4124758.0,0.0,11915582.0,11915582.0,276.0,295.0,276.0,0.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,7116.0,7115617.0,6940.0,6939905.0,6940.0,7115617.0,6939905.0,1677.0,797.0,797.0,1676540.0,796919.0,1676540.0,796919.0,13022.0,4202.0,4202.0,13021809.0,4201878.0,13021809.0,4201878.0,0.0,8.0,8.0,0.0,8.0,0.0,8.0,91749.0,8.0,0.0,판도라티비,791
1085,(주)판도라티비,202960,2021/12,,12383273.0,467691.0,11915582.0,11915582.0,11915582.0,2332.0,2340.0,2332.0,0.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,9447.0,9447125.0,8970.0,8969766.0,8970.0,9447125.0,8969766.0,3209.0,2321.0,2321.0,3209074.0,2321468.0,3209074.0,2321468.0,15528.0,5846.0,5846.0,15527910.0,5845943.0,15527910.0,5845943.0,197.0,172.0,172.0,197.0,172.0,197.0,172.0,2029861.0,172.0,0.0,판도라티비,3700
1086,(주)판도라티비,202960,2021/12,,16508031.0,4592449.0,11915582.0,11915582.0,11915582.0,2332.0,2340.0,2332.0,0.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,9447.0,9447125.0,8970.0,8969766.0,8970.0,9447125.0,8969766.0,3209.0,2321.0,2321.0,3209074.0,2321468.0,3209074.0,2321468.0,15528.0,5846.0,5846.0,15527910.0,5845943.0,15527910.0,5845943.0,197.0,172.0,172.0,197.0,172.0,197.0,172.0,2029861.0,172.0,0.0,판도라티비,3700
1087,(주)판도라티비,202960,2021/12,,4124758.0,4124758.0,0.0,11915582.0,11915582.0,2332.0,2340.0,2332.0,0.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,2030.0,9447.0,9447125.0,8970.0,8969766.0,8970.0,9447125.0,8969766.0,3209.0,2321.0,2321.0,3209074.0,2321468.0,3209074.0,2321468.0,15528.0,5846.0,5846.0,15527910.0,5845943.0,15527910.0,5845943.0,197.0,172.0,172.0,197.0,172.0,197.0,172.0,2029861.0,172.0,0.0,판도라티비,3700
1088,(주)판도라티비,202960,2022/12,,4124758.0,4124758.0,0.0,11915582.0,11915582.0,790.0,790.0,790.0,0.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,10234.0,10234113.0,9413.0,9412789.0,9413.0,10234113.0,9412789.0,2728.0,1946.0,1946.0,2728041.0,1945666.0,2728041.0,1945666.0,15148.0,5384.0,5384.0,15148366.0,5383707.0,15148366.0,5383707.0,0.0,37.0,37.0,67.0,37.0,67.0,37.0,443023.0,37.0,0.0,판도라티비,1095
1089,(주)판도라티비,202960,2022/12,,16508031.0,4592449.0,11915582.0,11915582.0,11915582.0,790.0,790.0,790.0,0.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,10234.0,10234113.0,9413.0,9412789.0,9413.0,10234113.0,9412789.0,2728.0,1946.0,1946.0,2728041.0,1945666.0,2728041.0,1945666.0,15148.0,5384.0,5384.0,15148366.0,5383707.0,15148366.0,5383707.0,0.0,37.0,37.0,67.0,37.0,67.0,37.0,443023.0,37.0,0.0,판도라티비,1095
1090,(주)판도라티비,202960,2022/12,,12383273.0,467691.0,11915582.0,11915582.0,11915582.0,790.0,790.0,790.0,0.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,443.0,10234.0,10234113.0,9413.0,9412789.0,9413.0,10234113.0,9412789.0,2728.0,1946.0,1946.0,2728041.0,1945666.0,2728041.0,1945666.0,15148.0,5384.0,5384.0,15148366.0,5383707.0,15148366.0,5383707.0,0.0,37.0,37.0,67.0,37.0,67.0,37.0,443023.0,37.0,0.0,판도라티비,1095
1091,(주)펨토바이오메드,327610,2019/12,,0.0,0.0,0.0,5497965.0,5497965.0,,,,,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,,,4518.0,4518448.0,4518.0,,4518448.0,,-2118.0,-2118.0,,-2118451.0,,-2118451.0,,211.0,211.0,,210865.0,,210865.0,,-880.0,-880.0,,-880.0,,-880.0,-4548697.0,-880.0,0.0,펨토바이오메드,10000
1092,(주)펨토바이오메드,327610,2019/12,,5497965.0,0.0,5497965.0,5497965.0,5497965.0,,,,,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,,,4518.0,4518448.0,4518.0,,4518448.0,,-2118.0,-2118.0,,-2118451.0,,-2118451.0,,211.0,211.0,,210865.0,,210865.0,,-880.0,-880.0,,-880.0,,-880.0,-4548697.0,-880.0,0.0,펨토바이오메드,10000
1093,(주)펨토바이오메드,327610,2019/12,,5497965.0,0.0,5497965.0,5497965.0,5497965.0,,,,,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,-4549.0,,,4518.0,4518448.0,4518.0,,4518448.0,,-2118.0,-2118.0,,-2118451.0,,-2118451.0,,211.0,211.0,,210865.0,,210865.0,,-880.0,-880.0,,-880.0,,-880.0,-4548697.0,-880.0,0.0,펨토바이오메드,10000
1094,(주)펨토바이오메드,327610,2020/12,,5540045.0,0.0,5540045.0,5540045.0,5540045.0,,,,,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,,,1495.0,1494505.0,1495.0,,1494505.0,,-2513.0,-2513.0,,-2512823.0,,-2512823.0,,250.0,250.0,,250432.0,,250432.0,,-1.0,-1.0,,-648.0,,-648.0,-3570699.0,-648.0,0.0,펨토바이오메드,17550
1095,(주)펨토바이오메드,327610,2020/12,,5540045.0,0.0,5540045.0,5540045.0,5540045.0,,,,,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,,,1495.0,1494505.0,1495.0,,1494505.0,,-2513.0,-2513.0,,-2512823.0,,-2512823.0,,250.0,250.0,,250432.0,,250432.0,,-1.0,-1.0,,-648.0,,-648.0,-3570699.0,-648.0,0.0,펨토바이오메드,17550
1096,(주)펨토바이오메드,327610,2020/12,,0.0,0.0,0.0,5540045.0,5540045.0,,,,,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,-3571.0,,,1495.0,1494505.0,1495.0,,1494505.0,,-2513.0,-2513.0,,-2512823.0,,-2512823.0,,250.0,250.0,,250432.0,,250432.0,,-1.0,-1.0,,-648.0,,-648.0,-3570699.0,-648.0,0.0,펨토바이오메드,17550
1097,(주)펨토바이오메드,327610,2021/12,,622836.0,0.0,622836.0,9009958.0,9009958.0,,,,,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,,,-7305.0,-7305456.0,-7305.0,,-7305456.0,,-3131.0,-3131.0,,-3130683.0,,-3130683.0,,230.0,230.0,,230494.0,,230494.0,,-1116.0,-1116.0,,-1116.0,,-1116.0,-9335939.0,-1116.0,0.0,펨토바이오메드,18000
1098,(주)펨토바이오메드,327610,2021/12,,9009958.0,0.0,9009958.0,9009958.0,9009958.0,,,,,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,-9336.0,,,-7305.0,-7305456.0,-7305.0,,-7305456.0,,-3131.0,-3131.0,,-3130683.0,,-3130683.0,,230.0,230.0,,230494.0,,230494.0,,-1116.0,-1116.0,,-1116.0,,-1116.0,-9335939.0,-1116.0,0.0,펨토바이오메드,18000
