회사명,거래소코드,회계년도,이자보상배율(이자비용)(IFRS),[U01D100000000]영업활동으로 인한 현금흐름(간접법)(*)(요약)(IFRS),감사의견코드(IFRS)(백만원)
(주)광무,029480,2018/12,-1.6,-890,UQ
(주)광무,029480,2019/12,-2.36,-2568,UQ
(주)광무,029480,2020/12,-1.72,-1655,UQ
(주)광무,029480,2021/12,-0.25,-697,UQ
(주)광무,029480,2022/12,0.57,-34662,UQ
(주)구영테크,053270,2012/12,1.21,3401,UQ
(주)구영테크,053270,2013/12,1.26,6156,UQ
(주)구영테크,053270,2014/12,1.08,-1477,UQ
(주)구영테크,053270,2015/12,1.98,9374,UQ
(주)구영테크,053270,2016/12,3.06,12369,UQ
(주)구영테크,053270,2017/12,2.56,3339,UQ
(주)구영테크,053270,2018/12,0.73,-2316,UQ
(주)구영테크,053270,2019/12,1.14,9761,UQ
(주)구영테크,053270,2020/12,1.31,8014,UQ
(주)구영테크,053270,2021/12,1.93,8874,UQ
(주)구영테크,053270,2022/12,1.53,8019,UQ
(주)국순당,043650,2012/12,999999999,8479,UQ
(주)국순당,043650,2013/12,999999999,6876,UQ
(주)국순당,043650,2014/12,999999999,5749,UQ
(주)국순당,043650,2015/12,999999999,-5215,UQ
(주)국순당,043650,2016/12,999999999,2455,UQ
(주)국순당,043650,2017/12,999999999,18085,UQ
(주)국순당,043650,2018/12,999999999,15818,UQ
(주)국순당,043650,2019/12,999999999,-3808,UQ
(주)국순당,043650,2020/12,999999999,12386,UQ
(주)국순당,043650,2021/12,999999999,9260,UQ
(주)국순당,043650,2022/12,999999999,3553,UQ
(주)국영지앤엠,006050,2012/12,-4.57,-7365,UQ
(주)국영지앤엠,006050,2013/12,2.35,6008,UQ
(주)국영지앤엠,006050,2014/12,5.13,3236,UQ
(주)국영지앤엠,006050,2015/12,-15.79,647,UQ
(주)국영지앤엠,006050,2016/12,3.4,-3296,UQ
(주)국영지앤엠,006050,2017/12,17.57,239,UQ
(주)국영지앤엠,006050,2018/12,-18.31,5052,UQ
(주)국영지앤엠,006050,2019/12,15.75,-2377,UQ
(주)국영지앤엠,006050,2020/12,-18.55,5498,UQ
(주)국영지앤엠,006050,2021/12,-46.71,-1778,UQ
(주)국영지앤엠,006050,2022/12,8.72,-4155,UQ
(주)국전약품,307750,2018/12,,,UQ
(주)국전약품,307750,2019/12,,,UQ
(주)국전약품,307750,2020/12,10.05,9460,UQ
(주)국전약품,307750,2021/12,21.56,3042,UQ
(주)국전약품,307750,2022/12,2.01,-5775,UQ
(주)그린플러스,186230,2019/12,4.73,-574,UQ
(주)그린플러스,186230,2020/12,7.01,5821,UQ
(주)그린플러스,186230,2021/12,8.37,752,UQ
(주)그린플러스,186230,2022/12,8.66,12031,UQ
(주)기가레인,049080,2013/12,5.66,10891,UQ
(주)기가레인,049080,2014/12,8.77,14427,UQ
(주)기가레인,049080,2015/12,-13.77,-352,UQ
(주)기가레인,049080,2016/12,-4.42,-3279,UQ
(주)기가레인,049080,2017/12,1.84,-3893,UQ
(주)기가레인,049080,2018/12,-0.54,-9321,UQ
(주)기가레인,049080,2019/12,-7.54,8307,UQ
(주)기가레인,049080,2020/12,-3.77,-3158,UQ
(주)기가레인,049080,2021/12,1.57,7413,UQ
(주)기가레인,049080,2022/12,-7.71,-971,UQ
(주)기산텔레콤,035460,2012/12,3.47,7329,UQ
(주)기산텔레콤,035460,2013/12,6.13,1904,UQ
(주)기산텔레콤,035460,2014/12,1.06,2837,UQ
(주)기산텔레콤,035460,2015/12,0.86,6283,UQ
(주)기산텔레콤,035460,2016/12,-21.26,-1680,UQ
(주)기산텔레콤,035460,2017/12,-15.43,2647,UQ
(주)기산텔레콤,035460,2018/12,-55.15,-2276,UQ
(주)기산텔레콤,035460,2019/12,18.65,5501,UQ
(주)기산텔레콤,035460,2020/12,-21.13,-2584,UQ
(주)기산텔레콤,035460,2021/12,-36.97,-479,UQ
(주)기산텔레콤,035460,2022/12,7.39,472,UQ
(주)나노,187790,2014/12,,,UQ
(주)나노,187790,2015/12,-3.85,-10073,UQ
(주)나노,187790,2016/12,-4.37,-237,UQ
(주)나노,187790,2017/12,1.5,-460,UQ
(주)나노,187790,2018/12,0.7,5872,UQ
(주)나노,187790,2019/12,1.2,1909,UQ
(주)나노,187790,2020/12,0.49,8336,UQ
(주)나노,187790,2021/12,3.67,43,UQ
(주)나노,187790,2022/12,0.3,5405,UQ
(주)나노브릭,286750,2019/12,-3.38,-1388,UQ
(주)나노브릭,286750,2020/12,0.4,1966,UQ
(주)나노브릭,286750,2021/12,-4.84,-2887,UQ
(주)나노브릭,286750,2022/12,-3.44,-1084,UQ
(주)나노신소재,121600,2012/12,-1.99,1149,UQ
(주)나노신소재,121600,2013/12,4.21,2107,UQ
(주)나노신소재,121600,2014/12,24.39,1080,UQ
(주)나노신소재,121600,2015/12,87.38,10955,UQ
(주)나노신소재,121600,2016/12,122.68,7393,UQ
(주)나노신소재,121600,2017/12,114.29,9525,UQ
(주)나노신소재,121600,2018/12,126.66,3478,UQ
(주)나노신소재,121600,2019/12,43.65,12314,UQ
(주)나노신소재,121600,2020/12,10.1,9482,UQ
