,회사명,거래소코드,회계년도,부실판단,기업수명주기
276,(주)스타플렉스,115570,2020,1.0,쇠퇴기
277,(주)이미지스테크놀로지,115610,2019,1.0,쇠퇴기
278,(주)알파홀딩스,117670,2018,1.0,도입기
279,(주)에스메디,118000,2014,1.0,쇠퇴기
280,(주)비덴트,121800,2017,1.0,쇠퇴기
281,(주)코이즈,121850,2016,1.0,성숙기
282,(주)에스디시스템,121890,2018,1.0,성장기
283,(주)예스티,122640,2020,1.0,성숙기
284,(주)아이윈플러스,123010,2018,1.0,쇠퇴기
285,(주)제닉,123330,2019,1.0,성숙기
286,(주)에스제이엠,123700,2014,1.0,성숙기
287,(주)알톤스포츠,123750,2017,1.0,쇠퇴기
288,(주)한일진공,123840,2021,1.0,도입기
289,(주)아나패스,123860,2020,1.0,쇠퇴기
290,(주)디엔에이링크,127120,2014,1.0,쇠퇴기
291,(주)매직마이크로,127160,2018,1.0,도입기
292,에코캡(주),128540,2021,1.0,도입기
293,(주)티엔엔터테인먼트,131100,2015,1.0,쇠퇴기
294,(주)이브이첨단소재,131400,2016,1.0,도입기
295,(주)파인텍,131760,2017,1.0,성숙기
296,(주)탑코미디어,134580,2018,1.0,쇠퇴기
297,(주)스마트솔루션즈,136510,2020,1.0,도입기
298,(주)넥스트아이,137940,2020,1.0,쇠퇴기
299,(주)협진,138360,2020,1.0,도입기
300,(주)나이벡,138610,2014,1.0,도입기
301,(주)시티랩스,139050,2017,1.0,도입기
302,키네마스터(주),139670,2017,1.0,쇠퇴기
303,(주)메지온,140410,2015,1.0,성장기
304,(주)엔솔바이오사이언스,140610,2020,1.0,쇠퇴기
305,(주)디에스앤엘,141020,2015,1.0,쇠퇴기
306,(주)레고켐바이오사이언스,141080,2015,1.0,쇠퇴기
307,(주)비엘,142760,2018,1.0,도입기
308,비디아이(주),148140,2021,1.0,도입기
309,비플라이소프트(주),148780,2020,1.0,도입기
310,아퓨어스(주),149300,2020,1.0,쇠퇴기
311,(주)피노텍,150440,2016,1.0,도입기
312,에스비더블유생명과학(주),151910,2016,1.0,쇠퇴기
313,(주)옵티팜,153710,2020,1.0,도입기
314,(주)엘앤케이바이오메드,156100,2018,1.0,도입기
315,(주)스킨앤스킨,159910,2015,1.0,도입기
316,(주)이큐셀,160600,2019,1.0,도입기
317,(주)디피코,163430,2020,1.0,도입기
318,코아스템켐온(주),166480,2017,1.0,쇠퇴기
319,(주)장원테크,174880,2018,1.0,성숙기
320,앱클론(주),174900,2021,1.0,쇠퇴기
321,(주)인포마크,175140,2019,1.0,도입기
322,아이큐어(주),175250,2020,1.0,쇠퇴기
323,(주)듀켐바이오,176750,2016,1.0,성숙기
324,(주)일월지엠엘,178780,2018,1.0,도입기
325,(주)애드바이오텍,179530,2021,1.0,도입기
326,디엑스앤브이엑스(주),180400,2017,1.0,도입기
327,(주)이즈미디어,181340,2021,1.0,도입기
328,(주)엔케이맥스,182400,2017,1.0,도입기
329,마이크로로봇(주),182690,2018,1.0,도입기
330,(주)엔지켐생명과학,183490,2020,1.0,도입기
331,아이진(주),185490,2017,1.0,도입기
332,(주)제노포커스,187420,2020,1.0,도입기
333,(주)나노,187790,2017,1.0,도입기
334,(주)코셋,189350,2020,1.0,쇠퇴기
335,(주)육일씨엔에쓰,191410,2020,1.0,쇠퇴기
336,(주)윈하이텍,192390,2018,1.0,쇠퇴기
337,휴림네트웍스(주),192410,2018,1.0,도입기
338,(주)와이제이엠게임즈,193250,2018,1.0,도입기
339,데브시스터즈(주),194480,2017,1.0,쇠퇴기
340,(주)에이비프로바이오,195990,2017,1.0,쇠퇴기
341,(주)알테오젠,196170,2018,1.0,도입기
342,애니젠(주),196300,2020,1.0,도입기
343,(주)디에이테크놀로지,196490,2020,1.0,도입기
344,(주)디지캡,197140,2022,1.0,성숙기
345,(주)리드,197210,2019,1.0,도입기
346,(주)데이터스트림즈,199150,2017,1.0,쇠퇴기
347,(주)바이오프로테크,199290,2021,1.0,쇠퇴기
348,(주)텔콘알에프제약,200230,2018,1.0,도입기
349,(주)비씨월드제약,200780,2021,1.0,도입기
350,(주)스피어파워,203690,2019,1.0,쇠퇴기
351,(주)스튜디오산타클로스엔터테인먼트,204630,2017,1.0,도입기
352,지엘팜텍(주),204840,2018,1.0,쇠퇴기
353,(주)코썬바이오,204990,2018,1.0,쇠퇴기
354,(주)액션스퀘어,205500,2017,1.0,쇠퇴기
355,(주)베노티앤알,206400,2017,1.0,쇠퇴기
356,(주)덱스터스튜디오,206560,2021,1.0,도입기
357,(주)유바이오로직스,206650,2022,1.0,성장기
358,(주)파멥신,208340,2020,1.0,쇠퇴기
359,(주)셀바스헬스케어,208370,2018,1.0,도입기
360,(주)썸에이지,208640,2018,1.0,도입기
361,(주)바이오로그디바이스,208710,2018,1.0,성장기
362,(주)엔지스테크널러지,208860,2019,1.0,도입기
363,(주)미래엔에듀파트너,208890,2022,1.0,성숙기
364,(주)휴벡셀,212310,2018,1.0,도입기
365,(주)라파스,214260,2021,1.0,성장기
366,(주)에스엘에너지,214310,2018,1.0,도입기
367,(주)미코바이오메드,214610,2022,1.0,도입기
368,(주)휴센텍,215090,2020,1.0,성장기
369,(주)우정바이오,215380,2022,1.0,성장기
370,크로넥스(주),215570,2017,1.0,도입기
371,신라젠(주),215600,2018,1.0,쇠퇴기
372,(주)제테마,216080,2021,1.0,성장기
373,제너셈(주),217190,2018,1.0,쇠퇴기
374,(주)싸이토젠,217330,2020,1.0,도입기
375,(주)강스템바이오텍,217730,2017,1.0,쇠퇴기
376,(주)원익피앤이,217820,2017,1.0,도입기
377,(주)틸론,217880,2017,1.0,성장기
378,(주)파마리서치바이오,217950,2017,1.0,도입기
379,알에프에이치아이씨(주),218410,2022,1.0,쇠퇴기
380,(주)디와이디,219550,2021,1.0,도입기
381,(주)지티지웰니스,219750,2020,1.0,도입기
382,(주)퓨쳐켐,220100,2018,1.0,도입기
383,(주)유투바이오,221800,2019,1.0,도입기
384,하이즈항공(주),221840,2022,1.0,쇠퇴기
385,(주)팬젠,222110,2018,1.0,도입기
386,(주)쎄노텍,222420,2020,1.0,성장기
387,(주)플럼라인생명과학,222670,2017,1.0,도입기
388,(주)세토피아,222810,2018,1.0,도입기
389,(주)로지스몬,223220,2017,1.0,쇠퇴기
390,커머스마이너 (주),223310,2017,1.0,도입기
391,(주)에스케이씨에스,224020,2019,1.0,성숙기
392,(주)더코디,224060,2018,1.0,성장기
393,(주)엄지하우스,224810,2022,1.0,쇠퇴기
394,(주)신테카바이오,226330,2021,1.0,도입기
395,케이에이치건설(주),226360,2022,1.0,성장기
396,(주)오스테오닉,226400,2020,1.0,성장기
397,(주)한송네오텍,226440,2021,1.0,성장기
398,올릭스(주),226950,2020,1.0,도입기
399,(주)에이치앤비디자인,227100,2021,1.0,도입기
400,도부마스크 (주),227420,2018,1.0,쇠퇴기
401,(주)아우딘퓨쳐스,227610,2021,1.0,성장기
402,(주)지노믹트리,228760,2021,1.0,도입기
403,(주)젠큐릭스,229000,2022,1.0,도입기
404,(주)노브메타파마,229500,2017,1.0,도입기
405,비유테크놀러지,230980,2019,1.0,쇠퇴기
406,(주)라온테크,232680,2017,1.0,도입기
407,(주)에이원알폼,234070,2021,1.0,성숙기
408,(주)메드팩토,235980,2021,1.0,도입기
409,(주)씨알푸드,236030,2021,1.0,쇠퇴기
410,(주)메디젠휴먼케어,236340,2018,1.0,도입기
411,(주)로보쓰리에이아이앤로보틱스,238500,2018,1.0,도입기
412,피씨엘(주),241820,2019,1.0,도입기
413,(주)굿센,243870,2019,1.0,쇠퇴기
414,올리패스(주),244460,2021,1.0,도입기
415,이원다이애그노믹스(주),245620,2020,1.0,도입기
416,(주)티앤알바이오팹,246710,2020,1.0,쇠퇴기
417,(주)아스타,246720,2019,1.0,쇠퇴기
418,(주)이노테라피,246960,2021,1.0,도입기
419,(주)모비스,250060,2019,1.0,도입기
420,(주)안지오랩,251280,2018,1.0,쇠퇴기
421,(주)루트락,253610,2022,1.0,도입기
422,(주)자비스,254120,2021,1.0,도입기
423,(주)케이피에스,256940,2021,1.0,도입기
424,(주)피엔티 엠에스,257370,2020,1.0,쇠퇴기
425,(주)테크트랜스,258050,2020,1.0,쇠퇴기
426,(주)에스엘테라퓨틱스,258540,2018,1.0,도입기
427,(주)케일럼,258610,2021,1.0,쇠퇴기
428,(주)엠플러스,259630,2019,1.0,도입기
429,(주)유틸렉스,263050,2020,1.0,도입기
430,(주)어스앤에어로스페이스,263540,2019,1.0,도입기
431,뿌리깊은나무들(주),266170,2019,1.0,쇠퇴기
432,(주)바이오인프라생명과학,266470,2022,1.0,쇠퇴기
433,(주)셀리버리,268600,2020,1.0,도입기
434,(주)시스웍,269620,2021,1.0,도입기
435,(주)에스알바이오텍,270210,2019,1.0,쇠퇴기
436,켄코아에어로스페이스(주),274090,2022,1.0,도입기
437,(주)엘리비젼,276240,2020,1.0,도입기
438,(주)이노벡스,279060,2021,1.0,도입기
439,(주)카이노스메드,284620,2022,1.0,쇠퇴기
440,(주)씨엔티드림,286000,2022,1.0,도입기
441,(주)나노브릭,286750,2021,1.0,도입기
442,브릿지바이오테라퓨틱스(주),288330,2021,1.0,쇠퇴기
443,(주)나라소프트,288490,2020,1.0,쇠퇴기
444,(주)네오펙트,290660,2020,1.0,쇠퇴기
445,(주)압타머사이언스,291650,2022,1.0,도입기
446,압타바이오(주),293780,2021,1.0,쇠퇴기
447,이오플로우(주),294090,2022,1.0,도입기
448,에스씨엠생명과학(주),298060,2022,1.0,쇠퇴기
449,에이비엘바이오(주),298380,2020,1.0,도입기
450,(주)지앤이헬스케어,299480,2020,1.0,쇠퇴기
451,(주)셀리드,299660,2021,1.0,도입기
452,(주)베스파,299910,2021,1.0,쇠퇴기
453,(주)플리토,300080,2021,1.0,도입기
454,(주)바이브컴퍼니,301300,2022,1.0,쇠퇴기
455,(주)피플바이오,304840,2022,1.0,도입기
456,(주)마이크로디지탈,305090,2021,1.0,도입기
457,(주)네온테크,306620,2022,1.0,도입기
458,(주)아이엘사이언스,307180,2021,1.0,도입기
459,(주)테크엔,308700,2021,1.0,성장기
460,(주)엘에이티,311060,2022,1.0,도입기
461,(주)윌링스,313760,2022,1.0,도입기
462,(주)지놈앤컴퍼니,314130,2022,1.0,도입기
463,(주)라닉스,317120,2021,1.0,도입기
464,(주)캐리소프트,317530,2021,1.0,도입기
465,(주)퀀타매트릭스,317690,2022,1.0,쇠퇴기
466,(주)포인트모바일,318020,2022,1.0,쇠퇴기
467,(주)티움바이오,321550,2021,1.0,도입기
468,(주)티라유텍,322180,2022,1.0,도입기
469,베른(주),322190,2022,1.0,쇠퇴기
470,(주)제이엘케이,322510,2021,1.0,쇠퇴기
471,(주)무진메디,322970,2022,1.0,도입기
472,엠에프엠코리아(주),323230,2022,1.0,도입기
473,(주)박셀바이오,323990,2022,1.0,쇠퇴기
474,(주)펨토바이오메드,327610,2021,1.0,도입기
475,(주)셀레믹스,331920,2022,1.0,쇠퇴기
476,프리시젼바이오(주),335810,2022,1.0,쇠퇴기
477,(주)타스컴,336040,2021,1.0,쇠퇴기
478,(주)유엑스엔,337840,2021,1.0,도입기
479,에이치엘비사이언스(주),343090,2022,1.0,쇠퇴기
480,(주)알체라,347860,2022,1.0,도입기
481,(주)고바이오랩,348150,2022,1.0,도입기
482,(주)클리노믹스,352770,2022,1.0,도입기
483,(주)엔젠바이오,354200,2022,1.0,쇠퇴기
484,글로벌에스엠테크리미티드,900070,2014,1.0,성장기
485,애머릿지코퍼레이션,900100,2017,1.0,쇠퇴기
486,엘브이엠씨홀딩스(주),900140,2015,1.0,도입기
487,로스웰인터내셔널유한회사,900260,2017,1.0,도입기
488,코오롱티슈진(주),950160,2019,1.0,쇠퇴기
489,(주)중앙에너비스,440,2022,0.0,성숙기
490,(주)신화다이나믹스,1770,2022,0.0,성숙기
491,(주)삼일기업공사,2290,2022,0.0,성숙기
492,(주)보락,2760,2022,0.0,성숙기
493,신신제약(주),2800,2022,0.0,성숙기
494,대주산업(주),3310,2022,0.0,성숙기
495,진양산업(주),3780,2022,0.0,성숙기
496,(주)남성,4270,2022,0.0,도입기
497,써니전자(주),4770,2022,0.0,성숙기
498,(주)덕성,4830,2022,0.0,성장기
499,(주)푸드웰,5670,2022,0.0,성장기
500,(주)국영지앤엠,6050,2022,0.0,도입기
501,(주)모헨즈,6920,2022,0.0,성숙기
502,(주)원풍,8370,2022,0.0,성숙기
503,삼아제약(주),9300,2022,0.0,성숙기
504,대우전자부품(주),9320,2022,0.0,성장기
505,삼정펄프(주),9770,2022,0.0,성숙기
506,(주)흥국,10240,2022,0.0,성숙기
507,(주)유니켐,11330,2022,0.0,성장기
508,한신기계공업(주),11700,2022,0.0,도입기
509,신일제약(주),12790,2022,0.0,성숙기
