회사명,거래소코드,회계년도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,유동비율,당좌비율,부채비율,유동부채비율,차입금의존도,순운전자본비율,현금비율,유동자산구성비율,자기자본구성비율,자기자본순이익률,경영자본순이익률,매출액순이익률,총자본사업이익률,총자본영업이익률,매출액영업이익률,금융비용부담률,CROE,총자산증가율,총자본증가율,유동자산증가율,비유동자산증가율,매출액증가율,유형자산증가율,부가가치,총자본투자효율,설비투자효율,부가가치율,이윤분배율,자본분배율,총자산회전율,매출채권회전률,당좌자산회전률,유형자산회전율,경영자본회전률,총자본회전률,비유동자산회전률,유동자산회전률,영업년수,상장년수,PER,PBR,PCR,PSR,쭈피처,영업투자현금비율,영업재무현금비율,부실판단,도입기,성숙기,성장기,쇠퇴기
(주)씨엔플러스,115530,2015,-6,-6,-4,-7,46,38,193,157,58,-29,4,25,34,-56.12,-27.34,-44.41,-8.21,-8.3,-16.22,2.57,-0.1635121060655458,-10.909224239760572,-10.91,-14.63,-9.6,-18.55,-14.78,-1320,-3,-4,-5,0,0,0.5430720033906221,5.92,2,1,1,1,1,2,21.0,13.0,-6.149012567324955,3865.038745014813,-30473.60329800252,2430.318245076221,0.2129726680636889,0.4021423609735913,-0.31130502614381,1.0,1,0,0,0
(주)씨유메디칼시스템,115480,2018,9,11,5,7,111,74,116,75,42,4,15,38,46,3.91,2.42,2.27,5.02,4.4,4.8,1.31,0.1135771725362295,70.06110371343274,70.06,16.15,138.77,30.78,501.11,12963,12,31,17,13,48,0.7276189611249614,5.47,3,3,1,1,2,2,23.0,13.0,80.0,734.5124744141235,11425.849018448507,466.4992945461124,0.1429298998493643,-0.0755290776769007,0.0857338639480231,1.0,0,0,1,0
(주)씨티케이,260930,2022,-10,-25,-2,-4,356,332,18,15,6,33,156,46,85,-11.01,-16.17,-30.52,-7.46,-7.86,-21.94,-0.07,-0.1060938054498266,-14.219126832962766,-14.22,-4.56,-20.94,-39.72,5.66,4348,2,11,6,-487,-314,0.3881440408595824,5.95,1,2,1,0,1,1,23.0,7.0,-7.475728155339806,690.3341135731499,-11816.167609512537,1503.0138149416832,0.3798318688123533,1.5377319406509409,-7.326623789138893,0.0,1,0,0,0
(주)씨티프라퍼티,52300,2014,137,428,26,21,212,211,24,17,6,16,89,30,81,-25.2,-13.97,-10.23,-4.47,-4.76,-4.6,1.24,-0.2024809033584404,-29.24374940377871,-29.24,-46.35,-18.24,-23.56,-49.95,9135,24,1326,19,-54,38,1.248897339251376,7.91,3,47,1,1,2,3,29.0,23.0,-5.956989247311828,1215.0876549364011,59337.85822300925,785.6984745957319,0.2599705395336111,-0.1391615269508573,-0.4143343137648181,1.0,0,1,0,0
(주)아나패스,123860,2020,-11,-36,-9,-8,114,108,397,373,25,11,25,86,20,-132.58,-49.36,-48.52,-19.74,-20.64,-22.21,0.8,-0.968952283654258,-25.431905313910782,-25.43,-22.26,-40.19,65.95,-32.45,-36373,-39,-622,-36,0,0,1.0875363481950662,36.87,1,10,1,1,6,1,22.0,14.0,-5.545267489711934,15672.502903115535,-1381578.5759450367,2900.170562710196,0.3255128938594027,-0.0221276466893835,1.4917011571923304,1.0,0,0,0,1
(주)아리온테크놀로지,58220,2018,-1,-3,-1,-2,130,100,204,69,29,7,26,29,33,-47.35,-23.42,-24.34,-7.75,-8.05,-12.78,8.6,0.2867041805220244,12.552392119288406,12.55,-11.0,26.48,-11.32,-97.27,-1414,-2,-300,-3,0,0,0.5945556091566465,5.88,2,5,1,1,1,2,25.0,19.0,-7.335766423357664,3541.7182876107254,-22324.93116644721,1959.4820600204127,0.3545194639820011,0.2485055921747192,-0.195115217209842,1.0,1,0,0,0
(주)아모그린텍,125210,2022,8,12,5,5,106,74,156,106,40,3,12,44,39,23.31,9.22,8.03,6.93,6.86,6.22,1.3,0.1672606567196082,25.241949290810773,25.24,2.12,52.2,16.43,57.16,31138,22,50,22,37,52,0.9928961839030764,4.86,3,3,1,1,2,2,20.0,5.0,17.052023121387283,3482.675221461719,15141.693153580643,1369.6212013531028,0.1445706031047776,-0.394756010663297,0.8087289401401256,0.0,0,0,1,0
(주)아우딘퓨쳐스,227610,2021,-9,-13,-6,-7,122,77,189,142,47,11,15,60,35,-39.72,-16.67,-19.06,-14.42,-14.83,-17.58,2.12,0.1013891307548833,-5.715643729099403,-5.72,-3.97,-8.23,8.65,-8.26,8809,17,50,20,-95,-40,0.8689169766207873,9.12,2,2,1,1,2,1,24.0,7.0,-3.226872246696036,1859.624199463908,7296.976247556316,739.9459510816024,0.5401412623372501,-0.8358618651967769,2.5386255132489786,1.0,0,0,1,0
(주)아이에스시,95340,2022,58,134,15,29,199,171,34,30,11,22,66,45,75,17.91,16.79,24.56,18.37,18.02,31.24,-0.54,0.0268998018823847,36.95019668016688,36.95,64.48,20.38,23.64,20.26,106706,30,109,60,41,70,0.4990376038454421,8.17,2,1,1,1,1,1,23.0,17.0,11.293227665706052,2035.142516018546,8338.552367613833,3049.530710536429,0.1357299720834532,-0.862059122355368,4.543418906033248,0.0,0,0,1,0
(주)아이에스이커머스,69920,2017,-14,0,-3,-8,291,289,28,28,0,42,71,64,78,58.94,66.6,92.39,-0.68,-1.82,-3.83,-1.88,0.5516721585326542,9.31198728576729,71.13,97.37,38.67,48.32,-73.6,53739,55,6844,147,63,93,0.3759717281497499,4.6,1,19,1,0,1,1,23.0,17.0,2.5,1249.9134533802162,-18091.92566479367,2590.928689851414,0.5235412195579007,-0.3954177416169017,0.4666612840259628,1.0,0,0,0,1
