,회사명,거래소코드,회계년도,매출채권회전률,종업원수증가율,총자산증가율,총자산회전율,영업년수,상장년수,CROE
0,케이알모터스(주),40,2012,3.42,-5.68,,0.820656137209612,107,48,
1,케이알모터스(주),40,2013,3.34,-4.82,-2.0076056883126303,0.8513800618183379,107,48,
2,케이알모터스(주),40,2014,2.33,22.78,17.02919498798469,0.5827481470090314,107,48,-0.134920967688054
3,케이알모터스(주),40,2015,2.56,-12.37,15.138247327814433,0.5119229140253972,107,48,-0.04546551900143281
4,케이알모터스(주),40,2016,2.88,-30.98,-5.51285703452651,0.5694439716357028,107,48,0.13944945257800667
5,케이알모터스(주),40,2017,1.73,-27.27,-27.15770034557296,0.3841817757767053,107,48,-0.4306041957650126
6,케이알모터스(주),40,2018,2.13,-3.91,42.84075889914852,0.23604332564087502,107,48,0.15889360901687072
7,케이알모터스(주),40,2019,9.49,-31.71,-6.985043556865881,0.9201706940727018,107,48,-0.3563174619245428
8,케이알모터스(주),40,2020,9.93,-26.19,8.18448504995379,0.7559617541308075,107,48,0.5108841042440196
9,케이알모터스(주),40,2021,9.59,-16.13,8.059967308995596,0.7926440616356718,107,48,0.031761430279097
10,케이알모터스(주),40,2022,8.2,0.0,-11.429547309584246,0.7846536044187641,107,48,-0.049795432782746674
11,(주)중앙에너비스,440,2015,13.15,0.0,,1.1690084081524275,78,31,-0.035691683817170285
12,(주)중앙에너비스,440,2016,13.22,3.81,0.21263496595296943,1.1817651302136667,78,31,0.0034026301719111314
13,(주)중앙에너비스,440,2017,25.9,-8.26,-21.97916812971295,1.1706848408100021,78,31,0.006437286259699079
14,(주)중앙에너비스,440,2018,27.44,-2.0,-2.8925788830222956,1.2960273995502296,78,31,-0.01360617672394222
15,(주)중앙에너비스,440,2019,30.05,-16.33,4.8203469789409725,1.067022782965727,78,31,-0.006062040309362608
16,(주)중앙에너비스,440,2020,28.54,-1.22,15.834470557149535,0.7509891795121262,78,31,0.3461834556820897
17,(주)중앙에너비스,440,2021,33.95,-3.7,-9.619345679703144,0.9417989547669958,78,31,-0.3556516147517519
18,(주)중앙에너비스,440,2022,34.35,-7.69,-1.6175187209303084,1.129279271104348,78,31,0.004294549215305113
19,(주)천일고속,650,2012,48.31,2.81,,0.9660212961083368,75,47,
20,(주)천일고속,650,2013,43.96,-1.59,5.436149480148919,0.9464806113643404,75,47,
21,(주)천일고속,650,2014,42.18,1.16,3.20587880872779,0.9659677238621,75,47,-0.03131244031210685
22,(주)천일고속,650,2015,39.03,-0.69,1.2760040057166346,0.9333187014164228,75,47,-0.008910445224285093
23,(주)천일고속,650,2016,34.1,-1.84,-16.68943429723861,1.1117464528031404,75,47,-0.04020461194500898
24,(주)천일고속,650,2017,9.84,-4.93,29.12044941739064,0.8143268486709249,75,47,0.5735926103781459
25,(주)천일고속,650,2018,5.7,4.24,18.523190836792107,0.690957222999353,75,47,-0.6341701802591554
26,(주)천일고속,650,2019,5.89,0.72,-0.45299018479604286,0.7449965320662626,75,47,0.016602565908609132
27,(주)천일고속,650,2020,5.54,-14.25,-16.271972606534177,0.46492788106556443,75,47,-0.16487810322171859
28,(주)천일고속,650,2021,33.95,-10.53,-6.436694035297,0.46794456037336113,75,47,0.13669913166348058
29,(주)천일고속,650,2022,46.75,-4.95,-12.535300820255783,0.6874414561677791,75,47,-0.17671096024159164
30,이화산업(주),760,2017,3.19,0.0,,0.23382120825452998,74,30,-0.015299604159054686
31,이화산업(주),760,2018,3.38,0.0,2.3572460274517093,0.24037438980222262,74,30,0.006923043441816457
32,이화산업(주),760,2019,3.42,-18.52,-1.646666544489,0.21825072591964675,74,30,-0.017396021990233407
33,이화산업(주),760,2020,3.42,-15.91,0.2396659015396593,0.1804050497484473,74,30,0.005573206507469612
34,이화산업(주),760,2021,4.1,10.81,-3.02278301666102,0.21022274533067806,74,30,0.3108457749003312
35,이화산업(주),760,2022,4.23,0.0,-2.306807281656412,0.21838548216319237,74,30,-0.2911766167752074
36,신라섬유(주),1000,2012,4.29,0.0,,0.1647549261650309,48,30,
37,신라섬유(주),1000,2013,3.44,0.0,2.308493913462015,0.13269275071379288,48,30,
38,신라섬유(주),1000,2014,1.77,0.0,-3.2985929497020505,0.08190854092329686,48,30,-0.020511720195977457
39,신라섬유(주),1000,2015,3.33,-38.89,-8.994912039157978,0.10246971706511529,48,30,-0.2175123214926042
40,신라섬유(주),1000,2016,225.89,0.0,-3.5005509252199536,0.11757568023615601,48,30,0.20608796506033344
41,신라섬유(주),1000,2017,0.0,0.0,-1.226304642787133,0.12443123995433669,48,30,0.01052373065032126
42,신라섬유(주),1000,2018,0.0,9.09,-0.8262045378769176,0.14762029786158481,48,30,-0.0173533967881672
43,신라섬유(주),1000,2019,0.0,-8.33,0.9574005775116023,0.12999364585274048,48,30,0.003762321070536201
44,신라섬유(주),1000,2020,56.35,-18.18,0.7156562009587064,0.12901623152671263,48,30,0.007913005875155258
45,신라섬유(주),1000,2021,19.22,-22.22,1.4129515770932302,0.13244406615378246,48,30,0.02059984294218535
46,신라섬유(주),1000,2022,15.3,0.0,-2.780527691119992,0.13870262301662725,48,30,-0.04669350989145179
47,금호전기(주),1210,2012,6.11,-27.47,,0.7457087223142387,89,51,
48,금호전기(주),1210,2013,5.41,-19.7,4.589516014669105,0.7259975244317697,89,51,
49,금호전기(주),1210,2014,5.15,-0.75,-3.1904224612438346,0.867846301151009,89,51,0.06547572601219019
50,금호전기(주),1210,2015,4.52,-22.43,-7.762591005436617,0.8330947460285192,89,51,-0.2757629087792388
