,회사명,거래소코드,회계년도,new_feature
104,(주)디피코,163430,2022/12,0.6913856676624875
105,(주)라피치,403360,2019/12,0.3573252704829655
106,(주)라피치,403360,2020/12,0.28603837439050994
107,(주)라피치,403360,2021/12,0.39482179819177565
108,(주)라피치,403360,2022/12,0.3860509738338632
109,(주)로보쓰리에이아이앤로보틱스,238500,2014/12,0.37837956581194704
110,(주)로보쓰리에이아이앤로보틱스,238500,2015/12,0.32846642315257096
111,(주)로보쓰리에이아이앤로보틱스,238500,2016/12,10.899635294950782
112,(주)로보쓰리에이아이앤로보틱스,238500,2017/12,29.602273128375277
113,(주)로보쓰리에이아이앤로보틱스,238500,2018/12,4.825820707070707
114,(주)로보쓰리에이아이앤로보틱스,238500,2019/12,3.2006793603642003
115,(주)로보쓰리에이아이앤로보틱스,238500,2020/12,0.3912210706229567
116,(주)로보쓰리에이아이앤로보틱스,238500,2021/12,17.12564051594664
117,(주)로보쓰리에이아이앤로보틱스,238500,2022/12,1.7084960290895257
118,(주)로지스몬,223220,2014/12,0.23000600223362835
119,(주)로지스몬,223220,2015/12,0.30656366504426
120,(주)로지스몬,223220,2016/12,0.44738647244599583
121,(주)로지스몬,223220,2017/12,0.9583554376657825
122,(주)로지스몬,223220,2018/12,1.919227638624602
123,(주)로지스몬,223220,2019/12,2.447771413228318
124,(주)로지스몬,223220,2020/12,4.763343024674573
125,(주)로지스몬,223220,2021/12,6.858811823988189
126,(주)로지스몬,223220,2022/12,0.13812920295234213
127,(주)루켄테크놀러지스,162120,2013/12,0.26056478408363065
128,(주)루켄테크놀러지스,162120,2014/12,0.15456092900764437
129,(주)루켄테크놀러지스,162120,2015/12,0.157679871440474
130,(주)루켄테크놀러지스,162120,2016/12,0.22566829502236405
131,(주)루켄테크놀러지스,162120,2017/12,0.1801735042771878
132,(주)루켄테크놀러지스,162120,2018/12,0.18795830667471505
133,(주)루켄테크놀러지스,162120,2019/12,0.11300254815236706
134,(주)루켄테크놀러지스,162120,2020/12,0.2421596539553492
