,회사명,거래소코드,회계년도,영업투자현금비율,영업재무현금비율
0,(주)가이아코퍼레이션,296520,2017/12,6.536549502202204,-0.9145248515942478
1,(주)가이아코퍼레이션,296520,2018/12,0.2844372047200018,-0.2267763245392218
2,(주)가이아코퍼레이션,296520,2019/12,0.4306706708467258,-0.18030257521197784
3,(주)가이아코퍼레이션,296520,2020/12,-5.671640557725261,-0.9117867091014856
4,(주)가이아코퍼레이션,296520,2021/12,-4.60322082555673,-1.1368652645199746
5,(주)가이아코퍼레이션,296520,2022/12,-0.6477381188428077,5.727662252196427
6,(주)굿센,243870,2013/12,-1.1551160061686117,127.82983663653702
7,(주)굿센,243870,2014/12,0.8634372732018487,1.1660719966297255
8,(주)굿센,243870,2015/12,0.021663282970530082,-0.50470488842277
9,(주)굿센,243870,2016/12,-1.0853020266535414,53.35919716198239
10,(주)굿센,243870,2017/12,-2.4116508748890073,
11,(주)굿센,243870,2018/12,17.264001966495094,0.43674357672670755
12,(주)굿센,243870,2019/12,-3.7504569130951295,0.5898765378866275
13,(주)굿센,243870,2020/12,5.423183686855081,-1.3606296158347237
14,(주)굿센,243870,2021/12,-2.2053614467538734,6.674037812593883
15,(주)굿센,243870,2022/12,-0.501078193961691,4.148413532642887
16,(주)나눔테크,244880,2014/12,2.418296649989537,-0.9043855255744068
17,(주)나눔테크,244880,2015/12,0.49427785534184915,-0.7659784026764147
18,(주)나눔테크,244880,2016/12,-1.9457330770009107,-1.1945889129370604
19,(주)나눔테크,244880,2017/12,-1.936159267372558,-3.9426550019975903
20,(주)나눔테크,244880,2018/12,-3.9856635613927915,-1.664646835109988
21,(주)나눔테크,244880,2019/12,-1.1680298631675705,-11.624841379310345
22,(주)나눔테크,244880,2020/12,-0.8871586978582776,-5.565826666666666
23,(주)나눔테크,244880,2021/12,-1.3945880943514377,-9.23119
24,(주)나눔테크,244880,2022/12,-0.7887087239785792,3.7536383333333334
25,(주)나라소프트,288490,2016/12,1.2565596849105187,-0.5552891006348835
26,(주)나라소프트,288490,2017/12,-2.4653233451679464,-1.845990034239902
27,(주)나라소프트,288490,2018/12,-2.32607203641523,-1.9603588788537458
28,(주)나라소프트,288490,2019/12,0.26294173085601,-0.20403113045593563
29,(주)나라소프트,288490,2020/12,-7.407021609342359,-1.4190494727737362
30,(주)나라소프트,288490,2021/12,0.33495193362479064,-0.2478751532332494
31,(주)나라소프트,288490,2022/12,-2.9303493123380506,-1.2176845745286633
32,(주)나우코스,257990,2015/12,,
33,(주)나우코스,257990,2016/12,,
34,(주)나우코스,257990,2017/12,,
35,(주)나우코스,257990,2018/12,,
36,(주)나우코스,257990,2019/12,,
37,(주)나우코스,257990,2020/12,-0.21027436378605707,0.15552020238038328
38,(주)나우코스,257990,2021/12,-0.04086291588595736,-0.007827611722831225
39,(주)나우코스,257990,2022/12,-0.46228290638055,0.18900584302206583
40,(주)노드메이슨,317860,2018/12,1.4081116372607014,-0.5591892178829375
41,(주)노드메이슨,317860,2019/12,-3.403986470283423,-7.468798063125051
42,(주)노드메이슨,317860,2020/12,-0.8370110321770298,-2.3415467325179096
43,(주)노드메이슨,317860,2021/12,-0.5896137915720262,0.9821399090956585
44,(주)노드메이슨,317860,2022/12,0.1771062723715008,-0.16443413877405588
45,(주)노보믹스,283100,2018/12,0.28591776513579276,-0.24227076045513515
46,(주)노보믹스,283100,2019/12,-1.8224762198852162,18.845325226834984
47,(주)노보믹스,283100,2020/12,34.61395981287341,-0.7920951500815155
48,(주)노보믹스,283100,2021/12,-1.1238894552428367,-13.944531980237683
49,(주)노보믹스,283100,2022/12,-1.1330093703851636,12.775872709684272
50,(주)노브메타파마,229500,2013/12,-0.35993384283960167,0.12113308823529412
51,(주)노브메타파마,229500,2014/12,0.1249084218472741,-0.06636493610672856
52,(주)노브메타파마,229500,2015/12,0.10222354038175648,-0.08708975584020019
53,(주)노브메타파마,229500,2016/12,-1.0128306058279146,2619.9597570235383
54,(주)노브메타파마,229500,2017/12,1.4342307580936848,-0.3989447141616889
55,(주)노브메타파마,229500,2018/12,-7.48430805174051,-2.966901236505444
56,(주)노브메타파마,229500,2019/12,-153.42969137135813,-1.0761891385025102
57,(주)노브메타파마,229500,2020/12,-2.619749543850345,-0.9736470223845444
58,(주)노브메타파마,229500,2021/12,1.6174843859387413,-0.6763398309565889
59,(주)노브메타파마,229500,2022/12,-1.4521142515414447,35.34753974726614
60,(주)다원넥스뷰,323350,2017/12,-1.228742182222319,-3.721094832706395
61,(주)다원넥스뷰,323350,2018/12,-0.6189225900312343,1.4467083123815418
62,(주)다원넥스뷰,323350,2019/12,6.870724856940738,-0.6854176667176737
63,(주)다원넥스뷰,323350,2020/12,-1.3328099420035489,4.094748846407383
64,(주)다원넥스뷰,323350,2021/12,-1.8868461098220506,-1.3086061538461538
65,(주)다원넥스뷰,323350,2022/12,1.536542830007387,-1.2367696365505834
66,(주)더콘텐츠온,302920,2013/12,1.8896091772435955,-0.6124973268644666
67,(주)더콘텐츠온,302920,2014/12,-0.9243507931837934,-1.9181543859649124
68,(주)더콘텐츠온,302920,2015/12,1.050737589567157,-0.590800356094883
69,(주)더콘텐츠온,302920,2016/12,-2.3825725549591286,-3.130032409200983
70,(주)더콘텐츠온,302920,2017/12,-0.8459227786374923,1.94106467067259
71,(주)더콘텐츠온,302920,2018/12,-0.04454632550174182,0.0323191623993094
72,(주)더콘텐츠온,302920,2019/12,0.23719822413019967,-0.31859829262338235
73,(주)더콘텐츠온,302920,2020/12,-0.6496098273029215,1.209847461843134
