,회사명,거래소코드,회계년도,영업레버리지,재무레버리지
0,(주)굿센,243870,2016/12,5.428346645909843,0.6035503667531
1,(주)굿센,243870,2017/12,-9.103130065588301,15.822195895104223
2,(주)굿센,243870,2018/12,-0.396545844921664,1.0861767877431392
3,(주)굿센,243870,2019/12,-2.0418484255569167,0.5958570442467939
4,(주)굿센,243870,2020/12,10.359006632268892,0.5049958397234152
5,(주)굿센,243870,2021/12,4.259042501901711,0.2697329766495676
6,(주)굿센,243870,2022/12,2.1504482473637143,6.934425747358249
7,(주)나눔테크,244880,2016/12,16.82522693291283,0.9416403482114349
8,(주)나눔테크,244880,2017/12,4.1294034215203945,0.9130779830271288
9,(주)나눔테크,244880,2018/12,2.649261786568273,1.012376543080032
10,(주)나눔테크,244880,2019/12,2.7803074814857647,0.9291911851577325
11,(주)나눔테크,244880,2020/12,3.516956105983458,0.9295929305341316
12,(주)나눔테크,244880,2021/12,2.807366793227918,0.9338642555075801
13,(주)나눔테크,244880,2022/12,2.354737370703041,0.9458786099696161
14,(주)나라소프트,288490,2018/12,10.093360674632802,0.691445401061504
15,(주)나라소프트,288490,2019/12,-0.3082164852903202,0.7641615129900146
16,(주)나라소프트,288490,2020/12,2.008958352167562,1.5312100425848145
17,(주)나라소프트,288490,2021/12,-0.1942976501142868,0.6135876174999021
18,(주)나라소프트,288490,2022/12,-2.1691525476395785,0.5969214218310561
19,(주)나우코스,257990,2015/12,,
20,(주)나우코스,257990,2016/12,,
21,(주)나우코스,257990,2017/12,,
22,(주)나우코스,257990,2018/12,,
23,(주)나우코스,257990,2019/12,,
24,(주)나우코스,257990,2020/12,2.7637059702755296,2.3181702745040846
25,(주)나우코스,257990,2021/12,31.752009194303817,0.7735045866882486
26,(주)나우코스,257990,2022/12,-3.822572106149809,0.6826764108419086
27,(주)노드메이슨,317860,2019/12,-12.327341203106547,0.830502518184376
28,(주)노드메이슨,317860,2020/12,6.843393905707582,1.0419070174418164
29,(주)노드메이슨,317860,2021/12,9.921182482255345,3.4021164397444057
30,(주)노드메이슨,317860,2022/12,-2.5469524831899077,0.8993265761081839
31,(주)노브메타파마,229500,2015/12,-1.5305634361257408,1.1108579266404142
32,(주)노브메타파마,229500,2016/12,-0.2960841530059786,1.0354324687141379
33,(주)노브메타파마,229500,2017/12,-0.035816091136359016,0.9069626700211841
34,(주)노브메타파마,229500,2018/12,-0.0037848159066018678,1.0210947236743961
35,(주)노브메타파마,229500,2019/12,-0.000682319711533668,1.0004979886923049
36,(주)노브메타파마,229500,2020/12,-0.0011538373296004554,0.9786218916029061
37,(주)노브메타파마,229500,2021/12,-0.0054317888846942275,0.9179797409495855
38,(주)노브메타파마,229500,2022/12,-0.0021693716749054234,1.2137923298559816
39,(주)다원넥스뷰,323350,2019/12,15.338834756179324,2.2346742577471472
40,(주)다원넥스뷰,323350,2020/12,-0.5550660872878358,0.39625574929049395
41,(주)다원넥스뷰,323350,2021/12,4.58195671178368,1.0469333733090849
42,(주)다원넥스뷰,323350,2022/12,3.2803310505116814,-1.0996276574772303
43,(주)더콘텐츠온,302920,2018/12,3.5667863677325977,2.2063958305089852
44,(주)더콘텐츠온,302920,2019/12,1.8393901185346269,1.8950400418817457
45,(주)더콘텐츠온,302920,2020/12,2.171436766506966,-0.6773375881407837
46,(주)더콘텐츠온,302920,2021/12,2.5291057341072025,1.7293334745059437
47,(주)더콘텐츠온,302920,2022/12,3.3325338134456266,-0.21209301306617456
48,(주)데이터스트림즈,199150,2014/12,16.091330994797413,1.8393504422212557
49,(주)데이터스트림즈,199150,2015/12,-2.711961933336953,0.7993060661280639
50,(주)데이터스트림즈,199150,2016/12,-5.263842214919808,1.0632869423740738
51,(주)데이터스트림즈,199150,2017/12,-2.3263985352583827,1.0027553840756296
52,(주)데이터스트림즈,199150,2018/12,-87.81494350321746,0.8299803898950283
53,(주)데이터스트림즈,199150,2019/12,-6.418850218426139,1.165363889872082
54,(주)데이터스트림즈,199150,2020/12,16.831685947064432,0.616249772296054
55,(주)데이터스트림즈,199150,2021/12,15.099695194783916,0.7401314510529969
56,(주)데이터스트림즈,199150,2022/12,-5.603427181987615,1.0477683944704435
57,(주)듀켐바이오,176750,2014/12,5.08206000711367,10.751867662753469
58,(주)듀켐바이오,176750,2015/12,-0.46721839571776913,0.4571016636338874
59,(주)듀켐바이오,176750,2016/12,-0.7278377354844167,0.5401567999587261
60,(주)듀켐바이오,176750,2017/12,-1.0063382629979511,1.3099982999726418
61,(주)듀켐바이오,176750,2018/12,-1.3264536515971501,0.36870106890213045
62,(주)듀켐바이오,176750,2019/12,-1.266882012285955,0.32419400529758213
63,(주)듀켐바이오,176750,2020/12,-1.4203398294588074,0.42338975832260384
64,(주)듀켐바이오,176750,2021/12,7.085035451730084,0.31218107485031593
65,(주)듀켐바이오,176750,2022/12,5.593918367084456,-0.5766158024345267
66,(주)디피코,163430,2018/12,8.023445424456947,9.07870503138642
67,(주)디피코,163430,2019/12,11.104665162270804,-3.250550672569021
68,(주)디피코,163430,2020/12,-0.0872194100400093,0.8604747944517319
69,(주)디피코,163430,2021/12,0.5565017462148593,0.5115571474113653
70,(주)디피코,163430,2022/12,0.42036021964657694,1.2838576114162639
71,(주)라피치,403360,2021/12,11.664782080275687,0.8073078869662147
72,(주)라피치,403360,2022/12,6.323327749655338,0.9752996233598755
73,(주)로보쓰리에이아이앤로보틱스,238500,2016/12,0.21394070864141101,0.950903046903076
74,(주)로보쓰리에이아이앤로보틱스,238500,2017/12,0.010098935575023194,0.9512420226263243
