회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,제품비율(매출채권 대 상),매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,제품회전률(상품),부재료회전률(원),재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수
(주)경주환경에너지,066402,2012/12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-177.87,-230.63,0,-213.4,-2.21,-2.39,0,-2.21,-12.52,0,-11.58,-11.64,0,-10.77,0,0,0,-2.39,-17.92,-16.58,277.87,330.63,17.23,-17.22,0,0,282.04,11.56,0.41,-5.21,0,0,0,-0.22,0,0,0,-6.99,-6.99,0,0,0,252.26,-269,0,-176.57,9294.46,-7.06,0,-581.8,11.96,0,13.59,11.96,88.04,19.06,80.94,92.94,461.88,105.5,72.27,72.27,70.98,0,0,0,0,0,0,424.64,86.84,0,337.8,0,-4.59,64.37,337.69,999999999,999999999,-1.45,-0.07,1156.11,8508.79,2574.13,-0.22,-0.28,-0.18,-35,0,0.01,0.08,0.05,0.05,0.01,0,0,0.09,0.09,0,0,0,0,0,0,0,0.01,0.01,0.04,0,0,-384.57,0,0,0,0,0,0,0,0,-0.98,-73.89,0,-189.87,0,0,0,-384.57,-432.23,77.42,-34.88,2.34,2.78,0,0,-0.98,0,-189.87,0
(주)경주환경에너지,066402,2013/12,4.1,-98.79,28.67,0,0,0,0,-4.66,3908.23,0,0,0.76,0,0,14.05,10.38,0,-4.28,2.32,2.11,0,-0.87,11.56,0,-4.77,10.5,0,-4.33,0,0,0,2.11,3.67,-1.51,85.95,89.62,-14.66,14.65,0,0,104.24,0.32,0.45,13.9,29.87,13.52,0.28,3.64,4.31,4.65,0,-12.22,-12.22,0,0,0,5055.67,-217,0,-120.33,-16930.72,-11.39,0,524.76,14.79,0,17.35,14.79,85.21,17.46,82.54,88.61,488.12,98.06,112.87,112.87,108.7,0,0,0,0,0,0,472.82,75.04,4.68,397.78,4120.08,1.69,72.64,416.1,0.66,0.71,-2.24,-0.11,65.96,426.18,502.01,-0.5,-0.57,-0.41,-2.06,0.71,0.2,0.35,1.11,1.01,0.25,0,0,1.52,1.52,0,0,0,0,0,0,0,0.23,0.47,0.72,0,0,3461.2,0,0,0,0,0,0,0,0,8.49,829.64,0,42.63,0.78,99.22,-10.04,3461.2,-347.66,27.13,1189.19,0,38.08,2554.46,0,8.49,0,42.63,0
(주)경주환경에너지,066402,2014/12,-8.82,-25,-17.24,-55.66,0,0,0,-12.03,-11.48,0,0,-7.36,0,0,9.65,5.2,0,-11.91,1.08,0.96,0,-2.2,5.59,0,-12.8,4.65,0,-10.66,0,0,0,1.15,0.96,-2.2,90.35,94.8,-17.11,18.14,0,0,111.71,0.44,0.52,15.97,31.29,7.1,0.6,4.04,4.79,4.67,0,-27.57,-27.57,0,0,0,4475.48,-533,0,94.12,-15938.02,-22.05,0,232.66,13.42,0,15.5,13.42,86.58,16.84,83.16,77.95,514.08,97.81,116.85,116.85,107.05,0,0,0,0,0,0,493.75,68.19,6.28,425.57,3703.92,1.94,75.94,450.87,0.28,0.34,-4.76,-0.22,76.62,465.47,517.09,-0.07,-0.07,-0.06,-0.29,0.29,0.18,0.18,1.07,0.9,0.22,0,0,1.31,1.31,0,0,0,0,0,0,0,0.21,19.69,0.7,0,0,3080.05,0,0,0,0,0,0,0,0,8.29,984.37,0,42.86,1.16,98.84,-27.79,3080.05,-856.07,35.67,1303.68,0,42.31,2554.46,0,8.29,0,42.86,0
(주)경주환경에너지,066402,2015/12,-3.43,-33.33,25.64,411.04,0,0,0,13.11,26.44,0,0,-7.94,0,0,24.05,21.01,0,9.03,5.32,5.23,0,2.25,28.63,0,12.3,23.78,0,10.22,0.03,0,0,5.23,5.23,2.25,75.95,78.99,-11.98,11.99,0,0,91.01,0,0,13.12,30.77,7.64,0.97,3.65,4.25,4.11,0,-12.79,-12.79,0,0,0,5658.76,511,0,1762.27,-13901.32,-11.83,0,1188.96,17.46,0,21.15,17.46,82.54,19.73,80.27,88.17,418.42,92.59,160.88,160.88,0,0,0,0,0,0,0,406.93,55.02,6.7,351.91,1050.68,6.61,73.7,373.59,1.7,1.75,-2.65,-0.12,61.92,340.03,394.93,5.17,5.64,4.15,16.4,1.75,0.25,0.25,1.36,1.13,0.3,0,0,1.62,1.62,0,0,0,0,0,0,0,0.29,34.85,0.94,0,0,4464.18,0,0,0,0,0,0,0,0,12.44,2140.1,0,49.13,0,0,18.38,4464.18,820.37,0,1089.13,0,0.22,2554.46,0,12.44,0,49.13,0
(주)경주환경에너지,066402,2016/12,-1.96,-50,29.56,-4.82,0,12.66,0,13.06,-0.01,0,0,-8.62,0,0,22.65,20,0,10.17,5.22,5.11,0,2.6,24.1,0,12.26,22.63,0,11.51,7.08,0,0,4.92,5.11,2.6,77.35,80,-9.05,9.05,0,0,89.1,0,0,10.12,31.43,8.27,1.41,2.94,3.48,3.36,0,0.24,0.24,0,0,0,5658.12,576,0,2407.59,-11799.96,-0.32,0,1131.67,23.07,0,29.99,23.07,76.93,22.75,77.25,99.68,338.18,87.22,195.53,195.53,9.79,0,0,0,0,0,0,339.61,51.87,8.08,287.74,580.66,11.27,70.13,308.31,2.12,2.21,-0.07,0,79.15,311.95,387.24,12.32,13.57,9.52,36.85,2.21,0.26,0.26,1.2,1.13,0.32,0,0,1.26,1.26,0,0,0,0,0,0,0,0.32,58.08,0.81,0,0,4371.71,0,0,0,0,0,0,0,0,12.43,4191.51,0,48.12,0,0,21.14,4371.71,994.63,0,822.62,0,0,2554.46,0,12.43,0,48.12,0
(주)경주환경에너지,066402,2017/12,-7.04,0,0.97,-85.93,0,0,0,-6.5,-8.51,0,0,-9.44,0,0,5.95,3.08,0,-6.26,0.87,0.75,0,-1.53,3.3,0,-6.72,3.19,0,-6.48,0,0,0,0.75,0.75,-1.53,94.05,96.92,-9.33,9.33,0,0,106.22,0,0,8.74,28.79,9.02,1.93,2.96,3.6,3.45,0,-6.69,-6.69,0,0,0,5176.88,-324,0,1223.33,-10597.96,-6.8,0,159.25,25.06,0,33.44,25.06,74.94,22.88,77.12,93.2,327.55,85.74,198.97,198.97,7.62,0,0,0,0,0,0,337.07,55.04,9.12,282.02,517.69,12.46,69.34,303.08,0.31,0.33,-1.67,-0.07,98.12,310.22,393.45,11.56,12.85,8.91,35.07,0.33,0.24,0.24,1.07,1.04,0.32,0,0,1.02,1.02,0,0,0,0,0,0,0,0.32,159.41,0.68,0,0,2810.21,0,0,0,0,0,0,0,0,8.59,0,0,33.8,0,0,-18.5,2810.21,-519.99,0,775.74,0,0,2554.46,0,8.59,0,33.8,0
(주)경주환경에너지,066402,2018/12,-5.44,0,8.18,305.02,,0,0,2.97,6.79,0,0,-10,0,0,12.85,11.67,,2.5,3.44,3.26,,0.7,13.64,,2.93,12.9,,2.77,5.39,,,3.22,3.26,0.7,87.15,88.33,-9.02,9.02,0,0,97.37,0,0,9.21,28.16,9.5,2.13,3.31,4.16,3.97,0,-3.62,-3.62,0,0,0,5528.19,138,,1750.64,-8933.77,-4.03,0,645.01,28.67,0,40.19,28.67,71.33,24.91,75.09,95.97,286.3,82.18,217.21,217.21,10.3,0,0,0,0,0,0,301.37,52.97,10.03,248.39,400.06,15.47,66.65,267.51,1.21,1.29,-1.05,-0.04,96.1,262.32,348.39,10.28,11.58,7.72,26.9,1.29,0.28,0.28,1.17,1.11,0.37,0,0,1.04,1.04,0,0,0,0,0,0,0,0.38,0,0.7,0,0,3485.93,0,0,,0,0,0,0,0,11.27,0,0,39.27,0,0,6.37,3485.93,234.86,0,800.92,0,0,2450.16,0,11.27,0,39.27,0
(주)경주환경에너지,066402,2019/12,-12.13,0,-14.66,0,,0,0,-24.18,-17.84,0,0,-11.11,0,0,-13.25,-14.69,,-25.54,-3.45,-3.69,,-6.41,-15.82,,-27.5,-13.35,,-23.2,0,,,-4.09,-3.69,-6.41,113.25,114.69,-10.85,9.24,0,0,125.3,0,0,7.3,26.56,10.53,2.36,3.02,4,3.79,0,-36.65,-36.65,0,0,0,4542.02,-1160,,705.56,-8568.03,-27.23,0,-667.27,27.84,0,38.58,27.84,72.16,21.5,78.5,72.77,335.65,85.46,178.86,178.86,8,0,0,0,0,0,0,365.15,72.4,11.15,292.75,512.74,12.27,68.24,317.4,-1.44,-1.76,-8.04,-0.27,112.65,285.68,372.62,9.24,10.63,7.26,27.04,-1.59,0.25,0.25,1.08,0.91,0.33,0,0,0.89,0.89,0,0,0,0,0,0,0,0.35,0,0.59,0,0,1261.07,0,0,,0,0,0,0,0,4.64,0,0,17.29,0,0,-147.72,1261.07,-1862.85,0,673.76,0,0,2450.16,0,4.64,0,17.29,0
(주)경주환경에너지,066402,2020/12,-18.94,0,-35.64,0,,0,0,-56.29,-22.19,0,0,-12.49,0,0,-46.04,-47.57,,-57.95,-10.89,-10.97,,-13.37,-64.3,,-78.33,-33.62,,-40.96,0,,,-10.99,-10.97,-13.37,146.04,147.57,-10.38,10.29,0,0,157.75,0,0,6.5,27.27,11.76,2.66,2.86,3.66,3.45,0,-212.6,-212.6,0,0,0,3534.25,-2048,,-552.61,-9090.16,-68.19,0,-1681.22,22.1,0,28.38,22.1,77.9,11.59,88.41,31.81,671.9,97.21,111.26,111.26,9.59,0,0,0,0,0,0,762.56,171.36,12.55,591.2,3063.04,2.24,74.79,645.11,-4.47,-4.63,-24.85,-0.68,109.56,323.97,388.19,0.63,0.75,0.56,2.16,-4.62,0.23,0.23,1.35,0.71,0.28,0,0,0.91,0.91,0,0,0,0,0,0,0,0.31,0,0.54,0,0,-254.26,0,0,,0,0,0,0,0,-1.15,0,0,-4.48,0,0,0,-254.26,-3288.6,0,584.18,0,0,2450.16,0,-1.15,0,-4.48,0
(주)경주환경에너지,066402,2021/12,-75.25,0,-23.77,0,,0,0,0,-24.35,0,0,-89.86,0,0,-105.7,-108.27,,-423.24,-33.78,-33.83,,-132.24,0,,0,-57.89,,-226.32,0,,,-128.34,-33.83,-132.24,205.7,208.27,-314.97,12.48,0,0,522.55,0,0,2.38,10.9,20.61,12.49,2.64,3.27,3.28,0,0,0,0,0,0,2673.65,-11316,,-723.88,0,0,0,-2894.71,68.08,0,213.32,68.08,31.92,0,386.44,0,0,0,61.09,61.09,1.92,0,0,0,0,0,0,0,0,12.47,0,0,-43.37,304.06,0,-8.57,-32.92,0,0,99.94,220.12,126.97,-4.86,-6.18,-18.8,-23.87,-8.68,0.31,0.31,0,0.53,0.21,0,0,1,1,0,0,0,0,0,0,0,0.45,0,0.45,0,0,-15185.37,0,0,,0,0,0,0,0,-278.52,0,0,-353.7,0,0,0,-15185.37,-18171.23,0,535.7,0,0,2450.16,0,-278.52,0,-353.7,0
