회사명,거래소코드,회계년도,총자본증가율,유형자산증가율,유동자산증가율,영업이익증가율,경상이익증가율 (2007년 이전 발생),순이익증가율,재고자산증가율,자기자본증가율,매출액증가율,종업원1인당 부가가치증가율,종업원수증가율,비유동자산증가율,종업원1인당 매출액증가율,종업원1인당 인건비증가율,매출액총이익률,매출액영업이익률,매출액경상이익률 (2007년 이전 발생),매출액순이익률,총자본사업이익률,총자본영업이익률,총자본경상이익률 (2007년 이전 발생),총자본순이익률,자기자본영업이익률,자기자본경상이익률 (2007년 이전 발생),자기자본순이익률,자본금영업이익률,자본금경상이익률 (2007년 이전 발생),자본금순이익률,조세 대 조세차감전순이익률,기업경상이익률 (2007년 이전 발생),투자수익률 (2007년 이전 발생),기업순이익률,경영자본영업이익률,경영자본순이익률,매출원가 대 매출액비율,영업비율,영업외손익률,금융비용부담률,외환이익 대 매출액비율,광고선전비 대 매출액비율,수지비율,인건비 대 총비용비율,조세공과 대 총비용비율,금융비용 대 총비용비율,감가상각비 대 총비용비율,감가상각률,누적감가상각률,이자부담률,지급이자율,차입금평균이자율,사내유보율,사내유보 대 자기자본비율,적립금비율(재정비율),평균배당률,자기자본배당률,배당성향,1주당매출액(원),EPS(Earning Per Share)(원),1주당경상이익 (2007년 이전 발생)(원),CPS(Cash flow Per Share)(원),BPS(Book-value Per Share)(원),유보율,R & D 투자효율,1주당영업이익(원),유동자산구성비율,재고자산 대 유동자산비율,유동자산 대 비유동자산비율,당좌자산구성비율,비유동자산구성비율,자기자본구성비율,타인자본구성비율,자기자본배율,비유동비율,비유동장기적합률,유동비율,당좌비율,현금비율,원재료비율,매출채권비율,재고자산 대 순운전자본비율,매출채권 대 매입채무비율,제품비율(매출채권 대 상),매입채무 대 재고자산비율,부채비율,유동부채비율,단기차입금 대 총차입금비율,비유동부채비율,비유동부채 대 순운전자본비율,순운전자본비율,차입금의존도,차입금비율,이자보상배율(이자비용),이자보상배율(순금융비용),유보액대비율,유보액 대 납입자본배율,유동자산집중도,비유동자산집중도,투자집중도,CASH FLOW 대 부채비율,CASH FLOW 대 차입금비율,CASH FLOW 대 총자본비율,CASH FLOW 대 매출액비율,영업이익대비이자보상배율,총자본회전률,경영자본회전률,자기자본회전률,자본금회전률,타인자본회전률,매입채무회전률,매입채무회전기간,유동자산회전률,당좌자산회전률,재고자산회전률,재고자산회전기간,제품회전률(상품),부재료회전률(원),재공품회전률,매출채권회전률,매출채권회전기간,비유동자산회전률,유형자산회전율,순운전자본회전률,운전자본회전률,1회전기간,부가가치(백만원),종업원1인당 부가가치(백만원),종업원1인당 매출액(백만원),종업원1인당 경상이익 (2007년 이전 발생)(백만원),종업원1인당 순이익(백만원),종업원1인당 인건비(백만원),노동장비율,기계장비율,자본집약도,총자본투자효율,설비투자효율,기계투자효율,부가가치율,노동소득분배율,자본분배율,이윤분배율,부가가치(백만원),법인세비용차감전(계속사업)손익(백만원),인건비(백만원),금융비용(백만원),임차료(백만원),조세공과(백만원),감가상각비(백만원),종업원1인당 부가가치(백만원),총자본투자효율,기계투자효율,부가가치율,종업원수
(주)국제스케폴딩,089461,2018/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,13.11,,8.74,15.51,15.51,,10.33,79.13,,52.73,2934.41,,1955.36,18.46,,,14.02,15.51,10.33,0,86.89,-2.71,3.12,0,0.01,89.64,13.45,0.34,3.47,47.55,48.54,59.54,4.59,17.59,35.17,0,97.3,97.3,0,0,0,2237868.54,97768,,2362920.78,741708.29,3608.54,0,293440.99,20.89,0,26.4,20.89,79.11,19.6,80.4,3708.54,403.68,371.23,26.54,26.54,1.58,0,0,0,0,0,0,410.26,401.52,0,8.74,0,-57.8,10.5,53.57,4.2,4.33,19.07,36.09,17.66,66.9,169.12,38.83,297.33,31.22,52.79,4.2,1.18,1.18,6.03,223.79,1.47,0,0,5.66,5.66,0,0,0,0,0,6.14,59.46,1.49,1.5,1.19,0.16,0.02,4300.29,0,0,,0,0,0,0,0,45.45,57.54,0,76.86,15.75,84.25,11.37,4300.29,582.21,677.38,174.63,453.48,17.31,2395.27,0,45.45,0,76.86,0
(주)국제스케폴딩,089461,2019/12,31.17,24.26,56.64,-48.29,,-73.88,0,6.89,42.45,0,0,24.44,0,0,0,4.76,,1.6,3.47,3.47,,1.17,19.78,,6.66,758.75,,255.41,35.65,,,3.06,3.47,1.17,0,95.24,-2.55,2.6,0,0,97.79,11.07,0.29,2.65,62.69,40.67,73.33,2.29,16.3,18.29,0,97.48,97.48,0,0,0,1593975.85,25541,,1269670.06,396394.82,3863.95,0,75875.11,24.94,0,33.24,24.94,75.06,15.97,84.03,3963.95,469.97,365.96,31.38,31.38,0.23,0,0,0,0,0,0,526.17,497.74,74.8,28.42,0,-54.55,10.23,64.08,1.83,1.85,15.57,38.64,31.82,105.4,155.64,58.76,482.51,49.38,76.89,1.83,0.73,0.73,4.16,159.4,0.88,0,0,3.14,3.14,0,0,0,0,0,3.27,111.7,0.95,0.95,0.71,0.31,0.01,6634.55,0,0,,0,0,0,0,0,53.46,71.44,0,83.25,13.02,86.98,1.92,6634.55,176.15,863.69,206.89,475.82,22.3,4889.69,0,53.46,0,83.25,0
(주)국제스케폴딩,089461,2020/12,-11.14,-22.95,21.39,58.21,,164.11,0,17.02,33.49,0,0,-21.95,0,0,0,5.64,,3.17,5.13,5.12,,2.88,27.91,,15.68,1200.45,,674.55,16.4,,,4.74,5.14,2.89,0,94.36,-2.12,2.05,0,0.01,96.48,9.96,0.28,2.12,48.13,37.63,110.99,2.28,9.85,12.52,0,97.84,97.84,600,12.94,88.95,2127865.61,67455,,661122.68,403849.51,4538.5,0,120044.55,34.07,0,51.69,34.07,65.93,21.03,78.97,4638.5,313.48,176.9,54.32,54.32,8.59,0,0,0,0,0,0,375.51,298.3,33.83,77.21,0,-28.66,20.1,95.58,2.75,2.72,20.58,45.38,32.21,77.94,102.97,55.43,217.76,43.77,45.37,2.76,0.91,0.91,4.95,212.79,1.11,0,0,3.1,3.1,0,0,0,0,0,3.42,106.61,1.28,1.29,0.9,0.29,0.01,7264.19,0,0,,0,0,0,0,0,65.87,101.52,0,68.28,14.08,85.92,4.64,7264.19,375.04,1022.81,217.73,677.19,28.38,4943.04,0,65.87,0,68.28,0
(주)국제스케폴딩,089461,2021/12,45.03,47.36,37.99,25.4,,73.33,0,12.27,16.31,0,0,48.67,0,0,0,6.08,,4.72,5.58,5.57,,4.33,30.58,,23.75,1505.36,,1169.21,18.5,,,5.77,5.63,4.37,0,93.92,-0.57,1.58,0,0,94.55,9.69,0.3,1.65,41.93,35.91,107.75,1.77,7.7,8.24,0,97.12,98.08,600,11.52,51.32,2474978.45,116921,,1742606.33,454537.85,5107.71,0,150536.46,32.42,0,47.97,32.42,67.58,16.28,83.72,5207.71,415.11,214.25,47.36,47.36,2.87,0,0,0,0,0,0,514.26,420.51,17,93.75,0,-36.04,15.97,98.08,3.83,4.49,15.97,51.08,36.13,73.05,127.7,44.88,235.29,37.57,48.56,3.86,0.92,0.92,5.03,247.5,1.12,0,0,2.77,2.77,0,0,0,0,0,3.13,116.67,1.37,1.4,0.92,0.32,0.01,9063.44,0,0,,0,0,0,0,0,56.67,85.96,0,73.24,12.65,87.35,6.45,9063.44,681.57,1146.96,195.24,2042.28,35.71,4961.67,0,56.67,0,73.24,0
(주)국제스케폴딩,089461,2022/12,17.69,19.03,13.66,306.22,,234.79,0,63.64,32.27,0,0,19.63,0,0,0,18.68,,11.96,17.57,17.56,,11.24,89.08,,57.02,6115.11,,3914.43,26.13,,,13.01,17.82,11.41,0,81.32,-2.69,1.88,0,0.01,84.15,9.06,0.24,2.22,50.28,39.8,111.98,2.2,12.22,12.17,0,98.24,98.83,800,9.39,20.44,3273587.58,391443,,2009253.84,767267.25,8422.14,0,611511.41,31.31,0,45.58,31.31,68.69,22.64,77.36,8522.14,303.46,226.47,44.94,44.94,2.97,0,0,0,0,0,0,341.77,307.77,58.61,33.99,0,-38.36,13.47,59.5,9.87,9.49,22.37,84.22,33.84,72.52,113.1,64.41,369.99,49.83,57.31,9.93,0.94,0.95,4.77,327.36,1.17,0,0,2.95,2.95,0,0,0,0,0,3.2,114.18,1.38,1.42,0.93,0.31,0.01,13397.16,0,0,,0,0,0,0,0,71.17,106.75,0,81.85,9.39,90.61,14.61,13397.16,2616.55,1258.38,308.05,2196.65,33.14,6984.39,0,71.17,0,81.85,0
(주)그린위치,103907,2021/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,41.43,10.98,,3.54,50.11,49.76,,16.02,221.83,,71.4,1030.58,,331.72,8.03,,,16.96,50.86,16.37,58.57,89.02,-7.45,0.21,0.02,0.04,96.5,8.82,0.32,0.21,0.32,11.45,10.35,1.22,3.06,6.12,0,78.48,78.48,0,0,0,46913.09,829,,-875.31,4644.55,364.58,0,5152.9,71.63,2.84,252.54,69.6,28.37,22.43,77.57,464.58,126.46,77.61,112.89,109.69,2.73,0,2062.02,24.86,251.37,2062.02,820.33,345.82,282.89,43.49,62.93,172.54,8.18,21.17,94.37,38.4,17.94,17.6,3.65,15.81,6.26,43.19,-2.72,-9.98,-2.11,-0.93,52.62,4.53,4.63,20.2,93.83,5.84,27.15,13.45,6.32,6.51,222.69,1.64,222.69,0,0,10.8,33.8,15.97,27.97,3.35,0,0.05,3347.98,0,0,,0,0,0,0,0,32.33,199.6,19468.51,14.27,60.28,39.72,24.77,3347.98,829.3,2018.24,48.96,305.29,72.42,73.78,0,32.33,19468.51,14.27,0
(주)그린위치,103907,2022/12,15.79,-4.55,22.11,0,,0,-91.7,-47.82,-23.14,0,0,-0.18,0,0,25.89,-1.69,,-6.16,-2.59,-2.72,,-9.94,-17.19,,-62.84,-60.78,,-222.15,0,,,-8.46,-2.78,-10.15,74.11,101.69,-4.48,0.92,1.26,0.86,106.03,11.07,0.4,0.85,0.42,6.46,16.58,1.76,3.47,4.88,0,58.75,58.75,0,0,0,18028.66,-1111,,-2648.19,1167.73,142.43,0,-303.91,75.55,0.19,308.94,75.4,24.45,10.11,89.89,242.43,241.91,102.85,99.11,98.92,4.78,0,31865.26,0,349.11,31865.26,9127.5,889.25,754.06,71.71,135.2,0,-0.68,43.08,426.17,-1.69,-5.72,5.94,1.42,45.7,16.28,65.26,-14.31,-29.87,-12.87,-8.56,-1.84,1.61,1.65,10.2,36.06,1.92,10.85,33.65,2.19,2.22,158.04,2.31,158.04,0,0,3.64,100.36,6.14,11,1.12,0.01,0.01,1665.85,0,0,,0,0,0,0,0,13.89,104.05,17644.7,9.24,129.87,-29.87,-66.68,1665.85,-1110.75,2163.46,165.23,287.25,78.11,82.55,0,13.89,17644.7,9.24,0
(주)글로벌금오렌트카,089812,2018/12,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,-17.25,,-28.07,-26,-26.02,,-42.33,0,,0,-1024.65,,-1667.3,0,,,-37.11,-26.02,-42.33,0,117.25,-10.81,3.46,0,0.59,127.21,6.11,1,2.64,57.09,78.35,112.17,4.37,3.97,7.94,0,0,0,0,0,0,296944.83,-41682,,207022.96,0,0,0,-51232.37,12.24,0,13.94,12.24,87.76,0,119.43,0,0,0,10.42,10.42,2.75,0,0,0,0,0,0,0,0,0,0,0,-105.19,65.99,0,-4.96,-7.1,0,0,8.11,58.2,132.63,22.01,39.83,26.28,34.86,-4.98,1.51,1.51,0,59.39,1.26,0,0,12.32,12.32,0,0,0,0,0,0,0,1.72,1.72,1.16,0,0,2672.66,0,0,,0,0,0,0,0,45.24,51.64,0,60,13.36,86.64,-46.79,2672.66,-1249.95,357.08,154.31,16.96,58.47,3335.79,0,45.24,0,60,0
(주)글로벌금오렌트카,089812,2019/12,-26.96,-29.27,-10.14,0,,0,0,0,-4.63,0,0,-29.31,0,0,0,4.65,,-1.06,3.87,3.87,,-0.88,0,,0,131.74,,-29.92,461.09,,,2.56,3.87,-0.88,0,95.35,-5.71,4.14,0,0.49,100.99,7.98,1.26,3.85,49.64,31.36,155.97,2.8,6.46,5.31,0,0,0,0,0,0,141597.31,-1496,,65216.67,0,0,0,6586.87,15.05,0,17.72,15.05,84.95,0,127.65,0,0,0,15.3,15.3,3.94,0,0,0,0,0,0,0,0,0,0,0,-83.31,63.13,0,1.12,0.74,0,0,16.15,104.17,101.57,45.95,92.91,58.66,59.58,1.12,0.83,0.83,0,28.32,0.68,0,0,6.19,6.19,0,0,0,0,0,0,0,0.96,0.96,0.68,0,0,2835.48,0,0,,0,0,0,0,0,65.72,77.47,0,66.75,12.83,87.17,-1.58,2835.48,-44.88,363.86,175.8,19.45,57.31,2263.93,0,65.72,0,66.75,0
(주)디파이브,063198,2012/12,-10.24,16.14,-16.75,0,0,0,0,0,-43.35,0,0,-8.04,0,0,74.76,44.47,0,47.36,20.64,20.28,0,21.6,0,0,0,730.88,0,778.4,0.22,0,0,21.24,72.75,77.48,25.24,55.53,2.89,-0.79,0,0,53.97,7.69,0.19,-1.43,4.67,26.51,50.16,-0.23,0,0,0,0,0,0,0,0,82177.25,38920,0,46863.52,0,0,0,36543.93,23.45,0,30.63,23.45,76.55,0,147.61,0,0,0,15.9,15.9,7.29,0,0,0,0,0,0,0,0,0,0,0,-124.05,145.2,0,999999999,999999999,0,0,53.53,165.74,56.64,-14.82,-15.07,-21.88,-45.39,0,0.46,1.64,0,16.44,0.29,0,0,1.87,1.87,0,0,0,0,0,15.81,23.09,0.6,13.91,0.41,0.06,0.04,2645.89,0,0,0,0,0,0,0,0,25.87,694.4,0,53.66,7.96,92.04,88.26,2645.89,2335.21,210.62,-39.17,6.28,5.11,127.86,,25.87,,53.66,
